seg,stratum,p3,p4,p3_frac_ai,p4_frac_ai,changed
nb_2025-12-11#t1877w2,A-consensus-2025,Human,AI,0.0,1.0,1
nb_2025-12-11#t1904w0,B-decile-6,Human,Human,0.0,0.0,0
nb_2025-12-11#t1916w8,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-12-12#t1971w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-12#t2018w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-12#t2026w1,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2026-03-17#t2033w0,B-decile-5,Human,Human,0.0,0.0,0
nb_2026-03-17#t2035w0,A7-speech-llr,Human,Human,0.0,0.0,0
nb_2026-03-17#t2035w1,A7-speech-llr,Human,Human,0.0,0.0,0
nb_2026-03-17#t2035w2,A6-lexicon,Human,Mixed,0.0,0.18352940678596497,1
nb_2026-03-17#t2035w3,A7-speech-llr,Human,Human,0.0,0.0,0
nb_2026-03-17#t2037w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2026-03-18#t2043w0,A2-fastdetect-tail,AI,AI,1.0,1.0,0
