seg,stratum,p3,p4,p3_frac_ai,p4_frac_ai,changed
nb_2023-10-25#t13366w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-10-25#t13426w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-10-25#t13459w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-10-26#t13553w4,Y-2023,Human,Human,0.0,0.0,0
nb_2023-10-26#t13579w0,A6-lexicon,Human,Mixed,0.0,0.18331053853034973,1
nb_2023-10-26#t13583w2,Y-2023,Human,Human,0.0,0.0,0
nb_2023-10-31#t13656w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-11-01#t13765w1,Y-2023,Human,Human,0.0,0.0,0
nb_2023-11-02#t13802w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-11-02#t13829w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-11-02#t13834w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-11-02#t13868w3,Y-2023,Mixed,Human,0.0,0.0,1
nb_2023-11-03#t13954w0,A6-lexicon,Human,Human,0.0,0.0,0
nb_2023-11-21#t14102w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-11-22#t14123w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-11-23#t14308w0,A6-lexicon,Human,Mixed,0.0,0.6001188158988953,1
nb_2023-11-23#t14342w6,A6-lexicon,AI,Human,1.0,0.0,1
nb_2023-11-30#t14720w2,A8-transition-fd,AI,Human,1.0,0.0,1
nb_2023-11-30#t14730w1,Y-2023,Human,Human,0.0,0.0,0
nb_2023-11-30#t14741w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-11-30#t14748w5,Y-2023,Human,Human,0.0,0.0,0
nb_2023-12-01#t14834w1,A6-lexicon,Human,Human,0.0,0.0,0
nb_2023-12-05#t14907w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-12-05#t14931w1,A8-transition-fd,AI,Human,1.0,0.0,1
nb_2023-12-05#t14931w2,A8-transition-fd,Mixed,AI,0.0,1.0,1
nb_2023-12-05#t14931w4,A8-transition-fd,AI,AI,1.0,1.0,0
nb_2023-12-06#t14995w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-12-06#t15084w2,A6-lexicon,AI,Human,1.0,0.0,1
nb_2023-12-07#t15162w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-12-08#t15223w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-12-12#t15362w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-12-13#t15449w0,Y-2023,Human,Human,0.0,0.0,0
nb_2023-12-13#t15455w0,Y-2023,Human,Human,0.0,0.0,0
nb_2024-03-22#t15644w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-03-22#t15720w11,A8-transition-fd,AI,AI,1.0,1.0,0
nb_2024-03-27#t15913w1,A6-lexicon,Human,Human,0.0,0.0,0
nb_2024-03-27#t15944w3,Y-2024,Human,Human,0.0,0.0,0
nb_2024-03-27#t15954w0,Y-2024,Human,Human,0.0,0.0,0
nb_2024-03-27#t15954w1,Y-2024,Human,Human,0.0,0.0,0
nb_2024-03-27#t15979w10,Y-2024,Human,Human,0.0,0.0,0
nb_2024-03-27#t15979w2,Y-2024,Human,Human,0.0,0.0,0
nb_2024-03-27#t15979w5,Y-2024,Human,Human,0.0,0.0,0
nb_2024-03-28#t15987w0,Y-2024,Human,Human,0.0,0.0,0
