turn_id,date,speaker,n_words,lex_hits,llr,flag05,flag01
SE#ministers_statement:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,236,10,45.923,True,True
SE#members_statement:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,193,4,18.766,True,True
2025-12-10#t1730,2025-12-10,Mr. Weir,142,4,17.272,True,True
SE#ministers_statement:addiction treatment and ment:0,synthetic-2026,SYNTHETIC,210,4,16.576,True,True
SE#ministers_statement:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,194,4,16.399,True,True
2026-03-17#t2035,2026-03-17,,1179,7,15.874,True,True
2024-05-07#t16123,2024-05-07,Mr. K. Arseneau,129,4,14.378,True,True
2021-12-07#t5184,2021-12-07,Hon. Mr. Crossman,133,4,14.284,True,True
2023-11-03#t13954,2023-11-03,Hon. Mr. Turner,184,4,13.986,True,True
2021-03-24#t1722,2021-03-24,Mr. Coon,257,4,13.106,True,True
SE#debate_response:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,159,3,11.699,True,True
2023-11-23#t14308,2023-11-23,Mr. McKee,265,4,11.257,True,True
2026-03-25#t2343,2026-03-25,Ms. Mitton,132,3,11.189,True,True
2024-05-16#t16835,2024-05-16,Mr. M. LeBlanc,2201,9,11.179,True,True
2021-11-25#t4628,2021-11-25,Mr. K. Arseneau,450,4,11.135,True,True
2026-05-05#t2572,2026-05-05,Mr. Ames,154,3,10.893,True,True
SE#members_statement:Bill 23 and the integrity of:0,synthetic-2026,SYNTHETIC,175,3,10.195,True,True
2024-06-06#t17636,2024-06-06,,169,3,10.025,True,True
2022-06-09#t7861,2022-06-09,Ms. Mitton,191,3,9.807,True,True
2024-06-04#t17361,2024-06-04,Mr. McKee,185,3,9.508,True,True
2020-12-18#t1260,2020-12-18,Hon. Mr. Higgs,447,3,9.102,True,True
SE#ministers_statement:the Mactaquac dam refurbishm:0,synthetic-2026,SYNTHETIC,229,2,8.676,True,True
2025-12-05#t1565,2025-12-05,Mr. Russell,146,2,8.282,True,True
2026-05-14#t3100,2026-05-14,Mr. Weir,148,2,8.263,True,True
2026-03-26#t2533,2026-03-26,Hon. Ms. Thériault,149,2,8.253,True,True
2023-06-13#t12656,2023-06-13,Mr. Bourque,150,2,8.243,True,True
2024-06-06#t17615,2024-06-06,Hon. G. Savoie,352,3,8.207,True,True
SE#debate_response:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,155,2,8.193,True,True
2025-10-24#t112,2025-10-24,Ms. S. Wilson,156,2,8.183,True,True
2025-12-04#t1466,2025-12-04,Mr. Monahan,159,2,8.153,True,True
2025-12-10#t1727,2025-12-10,Mr. Savoie,175,2,7.994,True,True
2024-05-08#t16239,2024-05-08,Ms. Mitton,110,2,7.857,True,True
SE#ministers_statement:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,228,2,7.783,True,True
2024-05-31#t17268,2024-05-31,Hon. M. Wilson,163,2,7.757,True,True
SE#members_statement:thanking firefighters after :0,synthetic-2026,SYNTHETIC,191,2,7.64,True,True
2025-12-12#t1948,2025-12-12,Mr. Johnston,175,2,7.638,True,True
SE#ministers_statement:the property assessment free:0,synthetic-2026,SYNTHETIC,196,2,7.43,True,True
SE#ministers_statement:National Police Week and com:0,synthetic-2026,SYNTHETIC,213,2,7.261,True,True
2022-05-10#t6542,2022-05-10,Hon. Ms. Dunn,262,2,7.13,True,True
2024-05-16#t16834,2024-05-16,,461,3,7.124,True,True
2025-12-10#t1732,2025-12-10,Mr. Johnston,185,2,7.111,True,True
2025-10-29#t309,2025-10-29,Ms. Vautour,148,2,6.968,True,True
2024-05-30#t17153,2024-05-30,Mr. Coon,144,2,6.952,True,True
2022-05-11#t6652,2022-05-11,Hon. Mr. Cardy,157,2,6.914,True,True
2021-03-24#t1720,2021-03-24,Hon. Ms. Scott-Wallace,100,2,6.809,True,True
SE#members_statement:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,181,2,6.676,True,True
2022-10-28#t8730,2022-10-28,Hon. Mrs. Shephard,167,2,6.464,True,True
2026-05-07#t2761,2026-05-07,Mr. Coon,172,2,6.338,True,True
2021-06-08#t3447,2021-06-08,Hon. Mr. Cardy,157,2,6.243,True,True
2021-05-14#t2394,2021-05-14,Mrs. Bockus,121,2,6.173,True,True
2025-12-11#t1859,2025-12-11,Hon. Mr. Randall,333,3,6.092,True,True
2024-05-30#t17143,2024-05-30,Mr. Coon,180,2,6.084,True,True
SE#members_statement:National Police Week and com:0,synthetic-2026,SYNTHETIC,169,2,6.033,True,True
2022-11-18#t9546,2022-11-18,Hon. Mr. Higgs,180,2,6.015,True,True
2023-12-01#t14834,2023-12-01,Mr. Bourque,854,3,5.821,True,True
2026-03-24#t2250,2026-03-24,Hon. C. Johnson,126,2,5.696,True,True
SE#members_statement:Diwali celebrations in New B:0,synthetic-2026,SYNTHETIC,187,2,5.678,True,True
2023-05-16#t11856,2023-05-16,Mr. Turner,149,2,5.468,True,True
2023-12-07#t15120,2023-12-07,Ms. Holt,151,2,5.364,True,True
2021-03-16#t1426,2021-03-16,Hon. Mr. Steeves,459,2,5.173,True,True
2025-12-10#t1733,2025-12-10,Ms. Vautour,135,2,5.096,True,True
2022-11-02#t8887,2022-11-02,Ms. Thériault,144,2,5.006,True,True
2024-06-07#t17773,2024-06-07,Mr. Coon,994,3,4.977,True,True
2021-05-18#t2549,2021-05-18,Hon. Mrs. Shephard,124,2,4.694,True,True
2026-03-25#t2391,2026-03-25,Hon. Mr. D’Amours,270,2,4.693,True,True
2026-05-13#t3063,2026-05-13,Hon. C. Chiasson,309,2,4.642,True,True
2025-12-09#t1685,2025-12-09,Ms. Mitton,103,1,4.452,True,True
2026-03-20#t2229,2026-03-20,Hon. Ms. Miles,440,3,4.449,True,True
2026-05-14#t3149,2026-05-14,Hon. Ms. Thériault,296,2,4.344,True,True
2023-06-09#t12562,2023-06-09,Mr. K. Arseneau,169,2,4.247,True,True
2025-12-11#t1860,2025-12-11,Mr. Russell,288,2,4.164,True,True
2022-12-14#t10528,2022-12-14,Mr. Turner,178,2,4.158,True,True
2023-10-20#t13183,2023-10-20,Ms. Thériault,186,2,4.078,True,True
2025-12-04#t1463,2025-12-04,Mr. Weir,145,1,4.035,True,True
2023-10-26#t13476,2023-10-26,Ms. Thériault,153,1,3.955,True,True
2026-05-07#t2759,2026-05-07,Ms. Bockus,159,1,3.896,True,True
2025-10-24#t119,2025-10-24,Mr. Johnston,160,1,3.886,True,True
2024-05-16#t16734,2024-05-16,Hon. Mr. Hogan,160,1,3.886,True,True
2022-05-18#t7047,2022-05-18,Hon. Mrs. Shephard,164,2,3.786,True,True
2023-06-13#t12665,2023-06-13,Mr. McKee,173,1,3.757,True,True
SE#debate_response:school bus breakdowns and st:0,synthetic-2026,SYNTHETIC,173,1,3.757,True,True
2025-11-04#t571,2025-11-04,Hon. Mr. Herron,85,1,3.728,True,True
SE#qp_question:the Nursing Home Without Wal:0,synthetic-2026,SYNTHETIC,96,1,3.619,True,True
SE#members_statement:addiction treatment and ment:0,synthetic-2026,SYNTHETIC,195,1,3.538,True,True
2021-11-10#t4383,2021-11-10,Mr. Austin,201,1,3.479,True,True
2021-06-11#t3739,2021-06-11,Hon. Mr. Holland,202,1,3.469,True,True
2021-05-21#t2860,2021-05-21,Mr. Turner,112,1,3.46,True,True
2021-06-09#t3475,2021-06-09,Mr. Cullins,119,1,3.39,True,True
2023-10-24#t13267,2023-10-24,Mr. Coon,121,1,3.37,True,True
2023-11-29#t14609,2023-11-29,Hon. Ms. Green,460,2,3.233,True,True
2023-10-31#t13600,2023-10-31,Mr. G. Arseneault,140,1,3.182,True,True
2024-05-30#t17155,2024-05-30,Ms. Mitton,142,1,3.162,True,True
2023-11-23#t14342,2023-11-23,Mr. McKee,2631,7,3.114,True,True
2025-11-06#t760,2025-11-06,Hon. Mr. LePage,154,1,3.043,True,True
2024-05-09#t16370,2024-05-09,Ms. Thériault,154,1,3.043,True,True
2022-06-09#t7849,2022-06-09,Hon. Ms. Green,104,1,3.029,True,True
2023-10-20#t13181,2023-10-20,Mr. Coon,157,1,3.013,True,True
2024-05-10#t16534,2024-05-10,Hon. Ms. Bockus,161,1,2.973,True,True
2025-11-18#t940,2025-11-18,Mr. Weir,164,1,2.943,True,True
SE#debate_response:the 2026-27 capital budget o:0,synthetic-2026,SYNTHETIC,165,1,2.933,True,True
2024-05-31#t17335,2024-05-31,Mr. Losier,98,1,2.928,True,True
2021-05-14#t2397,2021-05-14,Mr. Hogan,99,1,2.918,True,True
2026-05-14#t3115,2026-05-14,Mr. Mallet,101,1,2.898,True,True
2024-06-04#t17363,2024-06-04,Ms. Mitton,170,1,2.884,True,True
2021-02-12#t1327,2021-02-12,Mr. Ames,125,1,2.82,True,True
2023-05-18#t12079,2023-05-18,Mr. Legacy,178,1,2.804,True,True
2026-05-08#t2924,2026-05-08,Hon. Mr. Finnigan,111,1,2.799,True,True
2024-03-22#t15616,2024-03-22,Mr. Coon,183,1,2.754,True,True
2025-12-11#t1857,2025-12-11,Mr. Lee,116,1,2.749,True,True
2022-03-29#t6168,2022-03-29,Mr. Melanson,645,2,2.737,True,True
2021-05-13#t2284,2021-05-13,Hon. Mrs. Shephard,134,1,2.73,True,True
2025-11-04#t552,2025-11-04,Ms. M. Johnson,186,1,2.725,True,True
2021-11-24#t4559,2021-11-24,Mr. K. Arseneau,122,1,2.689,True,True
2022-05-13#t6890,2022-05-13,Mr. Cullins,126,1,2.65,True,True
2026-05-06#t2709,2026-05-06,Hon. Ms. Boudreau,194,1,2.645,True,True
2020-12-15#t812,2020-12-15,Hon. Mr. Fitch,143,1,2.641,True,True
2022-11-24#t9749,2022-11-24,Ms. Thériault,84,1,2.639,True,True
2024-05-10#t16480,2024-05-10,Mr. J. LeBlanc,85,1,2.629,True,True
2026-05-08#t2907,2026-05-08,Mr. J. LeBlanc,145,1,2.621,True,True
2025-11-20#t1162,2025-11-20,Mr. Russell,129,1,2.62,True,True
2021-06-02#t3071,2021-06-02,Mr. LeBlanc,130,1,2.61,True,True
2025-12-09#t1661,2025-12-09,Hon. Mr. Herron,147,1,2.601,True,True
2026-03-18#t2050,2026-03-18,Ms. M. Johnson,199,1,2.596,True,True
2025-12-04#t1470,2025-12-04,Mr. Savoie,123,1,2.588,True,True
SE#debate_response:addiction treatment and ment:0,synthetic-2026,SYNTHETIC,200,1,2.586,True,True
2025-12-11#t1822,2025-12-11,Hon. Mr. McKee,201,1,2.576,True,True
2025-12-05#t1607,2025-12-05,Mr. Monahan,153,1,2.542,True,True
2023-06-13#t12689,2023-06-13,Mr. McKee,139,1,2.52,True,True
2024-05-15#t16680,2024-05-15,Ms. Mitton,139,1,2.52,True,True
2025-11-18#t933,2025-11-18,Ms. Vautour,141,1,2.501,True,True
2024-05-29#t17053,2024-05-29,Mr. Coon,141,1,2.501,True,True
2025-12-02#t1335,2025-12-02,Hon. C. Chiasson,142,1,2.491,True,True
2023-06-14#t12811,2023-06-14,Ms. Thériault,99,1,2.49,True,True
2022-11-03#t9018,2022-11-03,Ms. Mitton,143,1,2.481,True,True
2021-12-16#t5806,2021-12-16,Mr. K. Arseneau,160,1,2.472,True,True
2025-12-12#t1943,2025-12-12,Mr. Monahan,144,1,2.471,True,True
2026-05-14#t3113,2026-05-14,Mr. M. LeBlanc,146,1,2.451,True,True
2025-11-20#t1114,2025-11-20,Ms. Sodhi,138,1,2.439,True,True
2022-10-07#t8365,2022-10-07,Mr. Coon,164,1,2.432,True,True
2024-06-07#t17685,2024-06-07,Ms. Mitton,148,1,2.431,True,True
2022-06-07#t7732,2022-06-07,Hon. Mr. Cardy,149,1,2.421,True,True
2022-10-12#t8552,2022-10-12,Hon. Mr. Crossman,149,1,2.421,True,True
2023-11-28#t14443,2023-11-28,Mr. Gauvin,106,1,2.421,True,True
2025-12-11#t1792,2025-12-11,Hon. Ms. Boudreau,166,1,2.413,True,True
2022-05-31#t7316,2022-05-31,Hon. Mr. Fitch,150,1,2.411,True,True
2024-03-22#t15658,2024-03-22,Hon. Mr. Fitch,168,1,2.393,True,True
2025-11-18#t934,2025-11-18,Mr. Savoie,152,1,2.391,True,True
2022-06-09#t7858,2022-06-09,Mr. K. Arseneau,152,1,2.391,True,True
2023-03-29#t11225,2023-03-29,Hon. Ms. Scott-Wallace,152,1,2.391,True,True
2020-12-15#t808,2020-12-15,Hon. Mr. Fitch,169,1,2.383,True,True
2024-05-09#t16381,2024-05-09,Mr. Legacy,110,1,2.381,True,True
2025-10-29#t365,2025-10-29,Hon. K. Chiasson,154,1,2.371,True,True
2024-05-17#t16875,2024-05-17,Mr. Bourque,155,1,2.361,True,True
2022-06-10#t7945,2022-06-10,Mr. G. Arseneault,157,1,2.342,True,True
2021-05-19#t2611,2021-05-19,Mr. Cullins,149,1,2.33,True,True
2023-10-31#t13597,2023-10-31,Ms. Holt,226,1,2.327,True,True
2025-12-10#t1783,2025-12-10,Mr. Russell,261,2,2.326,True,True
2024-06-04#t17368,2024-06-04,Ms. Mitton,159,1,2.322,True,True
2024-05-15#t16645,2024-05-15,Mr. McKee,177,1,2.303,True,True
2023-05-17#t11989,2023-05-17,Mr. K. Arseneau,119,1,2.292,True,True
SE#ministers_statement:thanking firefighters after :0,synthetic-2026,SYNTHETIC,230,1,2.288,True,True
2022-10-04#t8037,2022-10-04,Hon. Mr. Higgs,154,1,2.28,True,True
2023-06-13#t12687,2023-06-13,Mr. McKee,164,1,2.272,True,True
2024-03-20#t15528,2024-03-20,Ms. Mitton,165,1,2.262,True,True
2025-12-09#t1663,2025-12-09,Hon. Mr. Herron,182,1,2.254,True,True
2022-05-31#t7291,2022-05-31,Hon. Mr. Crossman,166,1,2.252,True,True
2023-05-18#t12081,2023-05-18,Ms. Sherry Wilson,123,1,2.252,True,True
2019-11-27#t139,2019-11-27,Mr. Northrup,167,1,2.242,True,True
2022-10-06#t8262,2022-10-06,Hon. Mr. Crossman,167,1,2.242,True,True
2022-10-25#t8572,2022-10-25,,125,1,2.232,True,True
2024-03-27#t15913,2024-03-27,,955,3,2.216,True,True
2026-03-20#t2201,2026-03-20,Hon. Ms. Miles,170,1,2.212,True,True
2023-05-17#t11951,2023-05-17,Ms. Holt,170,1,2.212,True,True
2023-11-28#t14445,2023-11-28,Mr. J. LeBlanc,127,1,2.212,True,True
2024-06-06#t17545,2024-06-06,Mr. J. LeBlanc,127,1,2.212,True,True
2026-03-20#t2199,2026-03-20,Ms. M. Wilson,172,1,2.193,True,True
2023-03-30#t11303,2023-03-30,Mr. Bourque,190,1,2.174,True,True
2025-10-24#t169,2025-10-24,Ms. Mitton,132,1,2.163,True,True
2025-11-21#t1289,2025-11-21,Hon. Ms. Boudreau,175,1,2.163,True,True
2026-05-13#t3046,2026-05-13,Ms. Mitton,175,1,2.163,True,True
2025-11-21#t1286,2025-11-21,Hon. Ms. Miles,176,1,2.153,True,True
2023-06-14#t12748,2023-06-14,Ms. Mitton,176,1,2.153,True,True
2026-03-26#t2534,2026-03-26,Ms. M. Wilson,167,1,2.151,True,True
2021-06-04#t3326,2021-06-04,Mrs. Conroy,134,1,2.143,True,True
2023-06-08#t12458,2023-06-08,Mr. Ames,134,1,2.143,True,True
2022-11-02#t8890,2022-11-02,Mrs. F. Landry,135,1,2.133,True,True
2022-03-23#t6052,2022-03-23,Hon. Mr. Savoie,136,1,2.123,True,True
2023-10-18#t13065,2023-10-18,Hon. Ms. Johnson,182,1,2.093,True,True
2025-11-21#t1287,2025-11-21,Ms. M. Johnson,183,1,2.083,True,True
2023-06-08#t12505,2023-06-08,Hon. Mr. Hogan,184,1,2.073,True,True
2020-12-15#t770,2020-12-15,Mr. K. Arseneau,185,1,2.063,True,True
2022-11-18#t9523,2022-11-18,Hon. Mr. Higgs,186,1,2.054,True,True
2025-12-02#t1365,2025-12-02,Hon. Ms. Thériault,143,1,2.053,True,True
2021-11-09#t4220,2021-11-09,Ms. Thériault,143,1,2.053,True,True
2026-03-26#t2471,2026-03-26,Mr. J. LeBlanc,180,1,2.022,True,True
2026-05-14#t3105,2026-05-14,Mr. Monahan,147,1,2.014,True,True
2021-05-11#t2003,2021-05-11,Hon. Mr. Fitch,190,1,2.014,True,True
2024-05-17#t16857,2024-05-17,Mr. D’Amours,181,1,2.012,True,True
2022-10-07#t8407,2022-10-07,Hon. Mr. Crossman,192,1,1.994,True,True
2025-12-10#t1782,2025-12-10,Hon. Mr. Randall,260,1,1.99,True,True
2026-03-18#t2116,2026-03-18,Ms. Mitton,150,1,1.984,True,True
2025-10-24#t165,2025-10-24,Hon. Ms. Boudreau,184,1,1.982,True,True
2026-03-26#t2539,2026-03-26,Hon. C. Johnson,188,1,1.943,True,True
2023-11-01#t13743,2023-11-01,Hon. R. Savoie,214,1,1.936,True,True
2024-05-15#t16691,2024-05-15,Ms. Thériault,155,1,1.934,True,True
2025-11-20#t1110,2025-11-20,Mr. Johnston,157,1,1.914,True,True
2025-10-30#t431,2025-10-30,Ms. Scott-Wallace,158,1,1.904,True,True
2022-10-25#t8571,2022-10-25,,1181,3,1.901,True,True
2025-12-02#t1299,2025-12-02,Mr. Monahan,269,1,1.9,True,True
2020-12-08#t320,2020-12-08,Mr. K. Arseneau,193,1,1.893,True,True
2025-11-04#t544,2025-11-04,Mr. Johnston,220,1,1.876,True,True
2025-10-29#t307,2025-10-29,Ms. Conroy,161,1,1.874,True,True
2025-12-10#t1784,2025-12-10,Ms. Mitton,205,1,1.865,True,True
2021-11-05#t4129,2021-11-05,Mr. Coon,162,1,1.865,True,True
2023-10-31#t13652,2023-10-31,Hon. S. Wilson,222,1,1.856,True,True
2024-05-29#t17052,2024-05-29,Ms. Landry,163,1,1.855,True,True
2026-05-06#t2643,2026-05-06,Hon. Ms. Thériault,165,1,1.835,True,True
2026-05-06#t2646,2026-05-06,Ms. M. Johnson,209,1,1.825,True,True
2020-12-16#t852,2020-12-16,Mrs. Bockus,167,1,1.815,True,True
2023-12-05#t14863,2023-12-05,Ms. Holt,167,1,1.815,True,True
2021-05-19#t2612,2021-05-19,Mr. Legacy,116,1,1.811,True,True
2023-10-18#t13164,2023-10-18,,116,1,1.811,True,True
2025-12-02#t1303,2025-12-02,Hon. Ms. Miles,202,1,1.804,True,True
2023-06-08#t12461,2023-06-08,Mrs. Conroy,169,1,1.795,True,True
2022-12-14#t10560,2022-12-14,Hon. Mr. Hogan,118,1,1.791,True,True
2022-03-31#t6417,2022-03-31,Mr. Legacy,170,1,1.785,True,True
2026-03-25#t2338,2026-03-25,Ms. M. Johnson,214,1,1.775,True,True
2021-06-04#t3318,2021-06-04,Hon. Mrs. Johnson,171,1,1.775,True,True
2023-03-28#t11084,2023-03-28,Mr. Legacy,120,1,1.771,True,True
2025-11-05#t624,2025-11-05,Mr. J. LeBlanc,172,1,1.765,True,True
2025-12-03#t1441,2025-12-03,Mr. Russell,215,1,1.765,True,True
2019-11-27#t191,2019-11-27,Hon. Mr. Gauvin,206,1,1.764,True,True
2024-05-14#t16578,2024-05-14,Ms. Holt,217,1,1.746,True,True
2024-05-10#t16510,2024-05-10,Hon. Mr. Hogan,123,1,1.741,True,True
2024-05-31#t17314,2024-05-31,Ms. Mitton,124,1,1.731,True,True
2024-05-17#t16853,2024-05-17,Ms. Holt,125,1,1.721,True,True
2025-12-04#t1558,2025-12-04,Ms. Bockus,1282,4,1.719,True,True
2023-12-07#t15158,2023-12-07,Mr. C. Chiasson,126,1,1.711,True,True
2025-12-12#t1946,2025-12-12,Ms. S. Wilson,213,1,1.694,True,True
2025-12-11#t1856,2025-12-11,Hon. C. Johnson,223,1,1.686,True,True
2025-11-18#t939,2025-11-18,Hon. Mr. Finnigan,130,1,1.672,True,True
2022-05-13#t6884,2022-05-13,Mr. Coon,182,1,1.666,True,True
2026-05-13#t3009,2026-05-13,Mr. Ames,131,1,1.662,True,True
2024-06-05#t17451,2024-06-05,Ms. Thériault,131,1,1.662,True,True
2023-03-24#t10950,2023-03-24,Mr. Turner,226,1,1.656,True,True
2026-05-05#t2563,2026-05-05,Hon. Ms. Holt,294,1,1.652,True,True
2021-06-11#t3703,2021-06-11,Mrs. F. Landry,132,1,1.652,True,True
2022-03-29#t6181,2022-03-29,Mr. Cullins,132,1,1.652,True,True
2022-10-26#t8666,2022-10-26,Hon. Mr. Allain,227,1,1.646,True,True
2023-11-22#t14130,2023-11-22,Mr. Coon,227,1,1.646,True,True
2025-12-04#t1465,2025-12-04,Hon. Ms. Boudreau,185,1,1.636,True,True
SE#ministers_statement:Bill 23 and the integrity of:0,synthetic-2026,SYNTHETIC,229,1,1.626,True,True
2025-11-19#t1030,2025-11-19,Mr. Johnston,136,1,1.612,True,True
2022-05-18#t7066,2022-05-18,Hon. Ms. Scott-Wallace,188,1,1.606,True,True
2020-12-16#t860,2020-12-16,Mr. Austin,137,1,1.602,True,True
2023-06-08#t12447,2023-06-08,Mr. Cullins,139,1,1.582,True,True
2023-11-22#t14160,2023-11-22,Mr. McKee,139,1,1.582,True,True
2021-05-14#t2383,2021-05-14,Mrs. Bockus,140,1,1.572,True,True
2022-06-01#t7427,2022-06-01,Hon. Ms. Dunn,235,1,1.567,True,True
2025-12-03#t1385,2025-12-03,Ms. Scott-Wallace,143,1,1.542,True,True
2025-12-10#t1736,2025-12-10,Mr. J. LeBlanc,143,1,1.542,True,True
2021-12-14#t5696,2021-12-14,Mr. Cullins,143,1,1.542,True,True
2023-12-07#t15105,2023-12-07,Mr. Bourque,255,1,1.528,True,True
2023-05-17#t11950,2023-05-17,Mr. Turner,146,1,1.513,True,True
2023-11-03#t13895,2023-11-03,Ms. Thériault,147,1,1.503,True,True
2021-03-23#t1626,2021-03-23,Hon. Ms. Dunn,148,1,1.493,True,True
2024-05-17#t16936,2024-05-17,Hon. Mr. Hogan,244,1,1.477,True,True
2025-11-06#t775,2025-11-06,Mr. Monahan,150,1,1.473,True,True
2026-03-26#t2484,2026-03-26,Hon. Mr. Dornan,150,1,1.473,True,True
2022-11-15#t9218,2022-11-15,Mr. Legacy,449,2,1.466,True,True
2022-12-15#t10623,2022-12-15,Mrs. F. Landry,151,1,1.463,True,True
2024-05-30#t17152,2024-05-30,Mr. D’Amours,151,1,1.463,True,True
2025-10-30#t483,2025-10-30,Hon. Ms. Thériault,204,1,1.447,True,True
2026-05-05#t2565,2026-05-05,Mr. Coon,204,1,1.447,True,True
2019-12-12#t328,2019-12-12,Hon. Mr. Gauvin,204,1,1.447,True,True
2022-05-18#t7067,2022-05-18,Ms. Thériault,204,1,1.447,True,True
2026-03-26#t2482,2026-03-26,Mr. Hogan,153,1,1.443,True,True
2021-06-02#t3085,2021-06-02,Ms. Thériault,154,1,1.433,True,True
2020-12-17#t1129,2020-12-17,Ms. Mitton,156,1,1.413,True,True
2023-10-24#t13279,2023-10-24,Mr. McKee,156,1,1.413,True,True
2025-10-21#t3,2025-10-21,,267,1,1.409,True,True
2025-10-24#t114,2025-10-24,Hon. Mr. D’Amours,157,1,1.403,True,True
2025-10-22#t86,2025-10-22,Hon. Mr. Randall,252,1,1.398,True,True
2026-03-25#t2344,2026-03-25,Ms. Wilcott,158,1,1.393,True,True
2022-06-09#t7854,2022-06-09,Mr. Bourque,158,1,1.393,True,True
2023-06-13#t12666,2023-06-13,Mr. K. Arseneau,158,1,1.393,True,True
2026-03-20#t2204,2026-03-20,Hon. Mr. Gauvin,159,1,1.383,True,True
2021-11-09#t4221,2021-11-09,Mr. K. Arseneau,160,1,1.374,True,True
2021-12-03#t5117,2021-12-03,Mr. K. Arseneau,212,1,1.368,True,True
2026-03-24#t2258,2026-03-24,Mr. Austin,161,1,1.364,True,True
2025-10-22#t66,2025-10-22,Ms. Mitton,163,1,1.344,True,True
2025-12-11#t1806,2025-12-11,Ms. Mitton,163,1,1.344,True,True
2020-12-17#t1080,2020-12-17,Mr. Coon,163,1,1.344,True,True
2023-05-17#t11994,2023-05-17,Ms. Holt,259,1,1.328,True,True
2023-11-21#t14027,2023-11-21,Mr. Coon,165,1,1.324,True,True
2023-03-22#t10917,2023-03-22,Hon. G. Savoie,217,1,1.318,True,True
2023-10-26#t13534,2023-10-26,Hon. Mr. Austin,167,1,1.304,True,True
2024-05-08#t16236,2024-05-08,Ms. Landry,168,1,1.294,True,True
2021-12-14#t5688,2021-12-14,Mr. Coon,169,1,1.284,True,True
2022-03-30#t6317,2022-03-30,Hon. Mrs. Shephard,171,1,1.264,True,True
2024-06-06#t17550,2024-06-06,Mr. G. Arseneault,171,1,1.264,True,True
2023-05-17#t11941,2023-05-17,Ms. Mitton,172,1,1.254,True,True
2026-03-26#t2470,2026-03-26,Mr. Coon,173,1,1.244,True,True
2021-12-08#t5411,2021-12-08,Ms. Thériault,661,2,1.236,True,True
2023-12-08#t15261,2023-12-08,Hon. Mr. Holland,175,1,1.225,True,True
2021-11-04#t3997,2021-11-04,Mr. K. Arseneau,178,1,1.195,True,True
2024-05-15#t16637,2024-05-15,Ms. Mitton,178,1,1.195,True,True
2022-06-03#t7648,2022-06-03,Hon. Mr. Holland,181,1,1.165,True,True
2025-12-12#t2008,2025-12-12,Ms. Conroy,276,1,1.159,True,True
2026-05-08#t2896,2026-05-08,Hon. Ms. Miles,184,1,1.135,True,True
2020-11-18#t88,2020-11-18,Hon. Mr. Higgs,184,1,1.135,True,True
2023-12-05#t14917,2023-12-05,Hon. Mr. Turner,280,1,1.12,True,True
2026-03-24#t2247,2026-03-24,Ms. Conroy,271,1,1.118,True,True
2022-06-07#t7719,2022-06-07,Hon. Mrs. Shephard,186,1,1.115,True,True
2024-06-04#t17362,2024-06-04,Hon. Mr. Steeves,299,1,1.091,True,True
2023-11-23#t14313,2023-11-23,Hon. Ms. Johnson,240,1,1.09,True,True
2023-11-29#t14537,2023-11-29,Mr. D’Amours,190,1,1.076,True,True
2020-12-09#t454,2020-12-09,Ms. Mitton,193,1,1.046,True,True
2026-03-26#t2464,2026-03-26,Mr. Savoie,195,1,1.026,True,True
2022-12-07#t10080,2022-12-07,Mr. Coon,195,1,1.026,True,True
2022-10-05#t8151,2022-10-05,Mr. Bourque,198,1,0.996,True,True
2022-11-01#t8839,2022-11-01,Hon. Mr. Crossman,293,1,0.99,True,True
2024-05-15#t16712,2024-05-15,Mr. Coon,253,1,0.96,True,True
2024-03-20#t15523,2024-03-20,Mr. K. Arseneau,202,1,0.956,True,True
2023-10-25#t13409,2023-10-25,Hon. Mr. Hogan,339,2,0.949,True,True
2020-11-18#t140,2020-11-18,Ms. Thériault,298,1,0.941,True,True
2020-12-16#t862,2020-12-16,Mr. LePage,204,1,0.936,True,True
2026-03-25#t2402,2026-03-25,Mr. Savoie,205,1,0.926,True,True
2023-06-09#t12598,2023-06-09,Hon. Mr. Hogan,180,2,0.919,True,True
2022-03-25#t6110,2022-03-25,Hon. Mr. Higgs,207,1,0.907,True,True
2023-11-02#t13783,2023-11-02,Ms. Thériault,210,1,0.877,True,True
2026-05-05#t2636,2026-05-05,Hon. Mr. Legacy,443,2,0.854,True,True
2024-05-29#t17049,2024-05-29,Ms. Holt,264,1,0.851,True,True
2024-05-16#t16816,2024-05-16,Mr. Losier,511,2,0.85,True,True
2020-11-18#t138,2020-11-18,Mrs. Harris,213,1,0.847,True,True
2020-11-20#t176,2020-11-20,Mr. McKee,219,1,0.787,True,True
2026-03-18#t2043,2026-03-18,Mr. J. LeBlanc,315,1,0.772,True,True
2024-05-07#t16122,2024-05-07,Ms. Holt,221,1,0.768,True,True
2026-05-07#t2839,2026-05-07,Hon. Mr. Legacy,223,1,0.748,True,True
2023-12-08#t15289,2023-12-08,Hon. Ms. Dunn,340,1,0.684,True,True
2022-10-04#t8117,2022-10-04,Hon. Ms. Dunn,324,1,0.683,True,True
