test,true,pred,delta,kind
Mr. Weir#c17,Mr. Weir,Mr. Cullins,0.6747,loo-2025
Mr. Weir#c18,Mr. Weir,Mr. Weir,0.7769,loo-2025
Mr. Weir#c19,Mr. Weir,Mr. Weir,0.7793,loo-2025
Mr. Weir#c20,Mr. Weir,Mr. Weir,0.7819,loo-2025
Mr. Weir#c21,Mr. Weir,Mr. Weir,0.7507,loo-2025
Mr. Weir#c22,Mr. Weir,Mr. Weir,0.735,loo-2025
Mr. Weir#c23,Mr. Weir,Mr. Weir,0.725,loo-2025
Ms. Bockus#c0,Ms. Bockus,Mr. Johnston,0.6169,loo-2025
Ms. Bockus#c1,Ms. Bockus,Ms. Bockus,0.5668,loo-2025
Ms. Bockus#c2,Ms. Bockus,Mr. Monahan,0.6711,loo-2025
Ms. Bockus#c3,Ms. Bockus,Hon. Mr. D’Amours,0.6625,loo-2025
Ms. Bockus#c4,Ms. Bockus,Mr. Russell,0.6134,loo-2025
Ms. Bockus#c5,Ms. Bockus,Ms. Bockus,0.7016,loo-2025
Ms. Bockus#c6,Ms. Bockus,Ms. Bockus,0.5883,loo-2025
Ms. Bockus#c7,Ms. Bockus,Mr. Cullins,0.6355,loo-2025
Ms. Conroy#c0,Ms. Conroy,Mr. J. LeBlanc,0.6939,loo-2025
Ms. Conroy#c1,Ms. Conroy,Ms. Scott-Wallace,0.8184,loo-2025
Ms. Conroy#c2,Ms. Conroy,Ms. Conroy,0.6874,loo-2025
Ms. Conroy#c3,Ms. Conroy,Ms. Conroy,0.7167,loo-2025
Ms. Conroy#c4,Ms. Conroy,Ms. Conroy,0.8211,loo-2025
Ms. Conroy#c5,Ms. Conroy,Ms. Conroy,0.7693,loo-2025
Ms. Conroy#c6,Ms. Conroy,Ms. Bockus,0.6771,loo-2025
Ms. Conroy#c7,Ms. Conroy,Mr. Coon,0.6602,loo-2025
Ms. Conroy#c8,Ms. Conroy,Ms. Conroy,0.8659,loo-2025
Ms. Conroy#c9,Ms. Conroy,Ms. M. Wilson,0.6349,loo-2025
Ms. Conroy#c10,Ms. Conroy,Ms. Conroy,0.7699,loo-2025
Ms. Conroy#c11,Ms. Conroy,Mr. Oliver,0.6295,loo-2025
Ms. Conroy#c12,Ms. Conroy,Ms. Bockus,0.6071,loo-2025
Ms. Conroy#c13,Ms. Conroy,Ms. Conroy,0.7427,loo-2025
Ms. Conroy#c14,Ms. Conroy,Hon. Mr. Legacy,0.8063,loo-2025
Ms. Conroy#c15,Ms. Conroy,Mr. M. LeBlanc,0.6752,loo-2025
Ms. Conroy#c16,Ms. Conroy,Ms. Conroy,0.6422,loo-2025
Ms. Conroy#c17,Ms. Conroy,Ms. Conroy,0.6677,loo-2025
Ms. Conroy#c18,Ms. Conroy,Ms. Scott-Wallace,0.6301,loo-2025
Ms. M. Johnson#c0,Ms. M. Johnson,Mr. Doucet,0.6517,loo-2025
Ms. M. Johnson#c1,Ms. M. Johnson,Ms. Mitton,0.6774,loo-2025
Ms. M. Johnson#c2,Ms. M. Johnson,Mr. Monahan,0.5852,loo-2025
Ms. M. Johnson#c3,Ms. M. Johnson,Ms. M. Johnson,0.6602,loo-2025
Ms. M. Johnson#c4,Ms. M. Johnson,Ms. M. Johnson,0.6603,loo-2025
Ms. M. Johnson#c5,Ms. M. Johnson,Ms. M. Johnson,0.6403,loo-2025
Ms. M. Johnson#c6,Ms. M. Johnson,Mr. Russell,0.5714,loo-2025
Ms. M. Johnson#c7,Ms. M. Johnson,Mr. Johnston,0.6303,loo-2025
Ms. M. Johnson#c8,Ms. M. Johnson,Ms. Scott-Wallace,0.6702,loo-2025
Ms. M. Johnson#c9,Ms. M. Johnson,Ms. M. Johnson,0.6878,loo-2025
Ms. M. Johnson#c10,Ms. M. Johnson,Ms. M. Johnson,0.6975,loo-2025
Ms. M. Johnson#c11,Ms. M. Johnson,Mr. Oliver,0.6338,loo-2025
Ms. M. Johnson#c12,Ms. M. Johnson,Ms. M. Johnson,0.6353,loo-2025
Ms. M. Johnson#c13,Ms. M. Johnson,Ms. M. Johnson,0.6643,loo-2025
Ms. M. Johnson#c14,Ms. M. Johnson,Mr. Russell,0.663,loo-2025
Ms. M. Johnson#c15,Ms. M. Johnson,Ms. M. Johnson,0.6736,loo-2025
Ms. M. Johnson#c16,Ms. M. Johnson,Ms. M. Johnson,0.6811,loo-2025
Ms. M. Johnson#c17,Ms. M. Johnson,Hon. Mr. Legacy,0.6376,loo-2025
Ms. M. Johnson#c18,Ms. M. Johnson,Ms. M. Johnson,0.6929,loo-2025
Ms. M. Johnson#c19,Ms. M. Johnson,Mr. M. LeBlanc,0.8116,loo-2025
Ms. M. Johnson#c20,Ms. M. Johnson,Mr. Johnston,0.618,loo-2025
Ms. M. Johnson#c21,Ms. M. Johnson,Ms. M. Johnson,0.6443,loo-2025
Ms. M. Johnson#c22,Ms. M. Johnson,Ms. Wilcott,0.6127,loo-2025
Ms. M. Johnson#c23,Ms. M. Johnson,Ms. Bockus,0.6617,loo-2025
Ms. M. Johnson#c24,Ms. M. Johnson,Mr. Russell,0.606,loo-2025
Ms. M. Johnson#c25,Ms. M. Johnson,Mr. Monahan,0.6176,loo-2025
Ms. M. Johnson#c26,Ms. M. Johnson,Mr. Cullins,0.567,loo-2025
Ms. M. Johnson#c27,Ms. M. Johnson,Mr. M. LeBlanc,0.7209,loo-2025
Ms. M. Wilson#c0,Ms. M. Wilson,Ms. Bockus,0.5377,loo-2025
Ms. M. Wilson#c1,Ms. M. Wilson,Mr. Monahan,0.6227,loo-2025
Ms. M. Wilson#c2,Ms. M. Wilson,Mr. Monahan,0.6458,loo-2025
Ms. M. Wilson#c3,Ms. M. Wilson,Mr. Monahan,0.6183,loo-2025
Ms. M. Wilson#c4,Ms. M. Wilson,Mr. Monahan,0.676,loo-2025
Ms. M. Wilson#c5,Ms. M. Wilson,Mr. Russell,0.6904,loo-2025
Ms. M. Wilson#c6,Ms. M. Wilson,Mr. Bourque,0.709,loo-2025
Ms. M. Wilson#c7,Ms. M. Wilson,Mr. Monahan,0.622,loo-2025
Ms. M. Wilson#c8,Ms. M. Wilson,Ms. M. Wilson,0.6352,loo-2025
Ms. M. Wilson#c9,Ms. M. Wilson,Ms. Bockus,0.6289,loo-2025
Ms. M. Wilson#c10,Ms. M. Wilson,Mr. Ames,0.5784,loo-2025
Ms. M. Wilson#c11,Ms. M. Wilson,Mr. Russell,0.6172,loo-2025
Ms. M. Wilson#c12,Ms. M. Wilson,Mr. Monahan,0.6524,loo-2025
Ms. M. Wilson#c13,Ms. M. Wilson,Mr. Monahan,0.6571,loo-2025
Ms. M. Wilson#c14,Ms. M. Wilson,Ms. M. Wilson,0.7696,loo-2025
Ms. M. Wilson#c15,Ms. M. Wilson,Mr. Monahan,0.7679,loo-2025
Ms. M. Wilson#c16,Ms. M. Wilson,Mr. Johnston,0.682,loo-2025
Ms. M. Wilson#c17,Ms. M. Wilson,Ms. M. Wilson,0.703,loo-2025
Ms. M. Wilson#c18,Ms. M. Wilson,Ms. M. Wilson,0.6883,loo-2025
Ms. M. Wilson#c19,Ms. M. Wilson,Ms. M. Wilson,0.6548,loo-2025
Ms. Mitton#c0,Ms. Mitton,Ms. Mitton,0.5517,loo-2025
Ms. Mitton#c1,Ms. Mitton,Ms. Mitton,0.5814,loo-2025
Ms. Mitton#c2,Ms. Mitton,Ms. Mitton,0.6707,loo-2025
Ms. Mitton#c3,Ms. Mitton,Ms. Bockus,0.7213,loo-2025
Ms. Mitton#c4,Ms. Mitton,Ms. Bockus,0.5605,loo-2025
Ms. Mitton#c5,Ms. Mitton,Ms. Mitton,0.714,loo-2025
Ms. Mitton#c6,Ms. Mitton,Ms. Mitton,0.7921,loo-2025
Ms. Mitton#c7,Ms. Mitton,Mr. Austin,0.7702,loo-2025
Ms. Mitton#c8,Ms. Mitton,Ms. Mitton,0.6844,loo-2025
Ms. Mitton#c9,Ms. Mitton,Mr. Weir,0.8271,loo-2025
Ms. Mitton#c10,Ms. Mitton,Mr. Johnston,0.6127,loo-2025
Ms. Mitton#c11,Ms. Mitton,Ms. Mitton,0.6787,loo-2025
Ms. Mitton#c12,Ms. Mitton,Ms. Mitton,0.5163,loo-2025
Ms. Mitton#c13,Ms. Mitton,Hon. Mr. D’Amours,0.6757,loo-2025
Ms. Mitton#c14,Ms. Mitton,Ms. Mitton,0.618,loo-2025
Ms. Mitton#c15,Ms. Mitton,Mr. Johnston,0.6308,loo-2025
Ms. Mitton#c16,Ms. Mitton,Ms. Bockus,0.7559,loo-2025
Ms. Mitton#c17,Ms. Mitton,Mr. Coon,0.5892,loo-2025
Ms. Mitton#c18,Ms. Mitton,Ms. Mitton,0.6372,loo-2025
Ms. Mitton#c19,Ms. Mitton,Ms. Mitton,0.8831,loo-2025
Ms. Mitton#c20,Ms. Mitton,Ms. Mitton,0.6307,loo-2025
Ms. Mitton#c21,Ms. Mitton,Ms. Mitton,0.6175,loo-2025
Ms. Mitton#c22,Ms. Mitton,Ms. Mitton,0.806,loo-2025
Ms. Mitton#c23,Ms. Mitton,Mr. Coon,0.5753,loo-2025
Ms. Mitton#c24,Ms. Mitton,Ms. Mitton,0.6554,loo-2025
Ms. Mitton#c25,Ms. Mitton,Ms. Mitton,0.5873,loo-2025
Ms. Mitton#c26,Ms. Mitton,Mr. Ames,0.6739,loo-2025
Ms. Mitton#c27,Ms. Mitton,Ms. Mitton,0.7132,loo-2025
Ms. Mitton#c28,Ms. Mitton,Mr. Weir,0.7657,loo-2025
Ms. Mitton#c29,Ms. Mitton,Mr. Weir,0.7203,loo-2025
Ms. Mitton#c30,Ms. Mitton,Mr. Oliver,0.7043,loo-2025
Ms. Mitton#c31,Ms. Mitton,Hon. Ms. Thériault,0.5587,loo-2025
Ms. Mitton#c32,Ms. Mitton,Mr. J. LeBlanc,0.5851,loo-2025
Ms. Mitton#c33,Ms. Mitton,Ms. Mitton,0.6856,loo-2025
Ms. Mitton#c34,Ms. Mitton,Hon. Mr. Randall,0.7221,loo-2025
Ms. Mitton#c35,Ms. Mitton,Ms. Mitton,0.8301,loo-2025
Ms. Mitton#c36,Ms. Mitton,Mr. Weir,0.8043,loo-2025
Ms. Mitton#c37,Ms. Mitton,Ms. Mitton,0.6827,loo-2025
Ms. Mitton#c38,Ms. Mitton,Ms. Mitton,0.7691,loo-2025
Ms. Mitton#c39,Ms. Mitton,Ms. Mitton,0.6119,loo-2025
Ms. Mitton#c40,Ms. Mitton,Ms. Mitton,0.693,loo-2025
Ms. Mitton#c41,Ms. Mitton,Ms. Mitton,0.6318,loo-2025
Ms. Mitton#c42,Ms. Mitton,Mr. Coon,0.635,loo-2025
Ms. Mitton#c43,Ms. Mitton,Mr. Russell,0.5736,loo-2025
Ms. Mitton#c44,Ms. Mitton,Hon. Mr. D’Amours,0.5585,loo-2025
Ms. Mitton#c45,Ms. Mitton,Ms. Bockus,0.6795,loo-2025
Ms. Mitton#c46,Ms. Mitton,Ms. Mitton,0.5888,loo-2025
Ms. Mitton#c47,Ms. Mitton,Mr. Lee,0.6514,loo-2025
Ms. Mitton#c48,Ms. Mitton,Ms. Mitton,0.6516,loo-2025
Ms. Mitton#c49,Ms. Mitton,Ms. Mitton,0.5683,loo-2025
Ms. S. Wilson#c0,Ms. S. Wilson,Mr. Ames,0.6542,loo-2025
Ms. S. Wilson#c1,Ms. S. Wilson,Ms. M. Johnson,0.7513,loo-2025
Ms. S. Wilson#c2,Ms. S. Wilson,Ms. S. Wilson,0.7148,loo-2025
Ms. S. Wilson#c3,Ms. S. Wilson,Mr. Austin,0.6986,loo-2025
Ms. S. Wilson#c4,Ms. S. Wilson,Mr. Weir,0.8442,loo-2025
Ms. S. Wilson#c5,Ms. S. Wilson,Mr. Austin,0.661,loo-2025
Ms. S. Wilson#c6,Ms. S. Wilson,Mr. Cullins,0.6003,loo-2025
Ms. S. Wilson#c7,Ms. S. Wilson,Mr. Russell,0.6685,loo-2025
Ms. S. Wilson#c8,Ms. S. Wilson,Ms. Conroy,0.7308,loo-2025
Ms. S. Wilson#c9,Ms. S. Wilson,Mr. Monahan,0.6404,loo-2025
Ms. Scott-Wallace#c0,Ms. Scott-Wallace,Ms. Scott-Wallace,0.63,loo-2025
Ms. Scott-Wallace#c1,Ms. Scott-Wallace,Mr. Russell,0.679,loo-2025
Ms. Scott-Wallace#c2,Ms. Scott-Wallace,Ms. Scott-Wallace,0.6819,loo-2025
Ms. Scott-Wallace#c3,Ms. Scott-Wallace,Mr. Coon,0.7361,loo-2025
Ms. Scott-Wallace#c4,Ms. Scott-Wallace,Ms. M. Johnson,0.6909,loo-2025
Ms. Scott-Wallace#c5,Ms. Scott-Wallace,Ms. Conroy,0.7023,loo-2025
Ms. Scott-Wallace#c6,Ms. Scott-Wallace,Ms. Scott-Wallace,0.5959,loo-2025
Ms. Scott-Wallace#c7,Ms. Scott-Wallace,Ms. Mitton,0.7057,loo-2025
Ms. Scott-Wallace#c8,Ms. Scott-Wallace,Mr. Lee,0.5804,loo-2025
Ms. Scott-Wallace#c9,Ms. Scott-Wallace,Mr. Hogan,0.7423,loo-2025
Ms. Scott-Wallace#c10,Ms. Scott-Wallace,Mr. Bourque,0.7101,loo-2025
Ms. Scott-Wallace#c11,Ms. Scott-Wallace,Mr. Hogan,0.7298,loo-2025
Ms. Scott-Wallace#c12,Ms. Scott-Wallace,Mr. Weir,0.6292,loo-2025
Ms. Scott-Wallace#c13,Ms. Scott-Wallace,Mr. Austin,0.7052,loo-2025
Ms. Scott-Wallace#c14,Ms. Scott-Wallace,Mr. Ames,0.647,loo-2025
Ms. Scott-Wallace#c15,Ms. Scott-Wallace,Ms. Scott-Wallace,0.6579,loo-2025
Ms. Scott-Wallace#c16,Ms. Scott-Wallace,Ms. M. Wilson,0.6976,loo-2025
Ms. Scott-Wallace#c17,Ms. Scott-Wallace,Ms. M. Johnson,0.6357,loo-2025
Ms. Scott-Wallace#c18,Ms. Scott-Wallace,Ms. M. Wilson,0.7615,loo-2025
Ms. Scott-Wallace#c19,Ms. Scott-Wallace,Mr. Lee,0.7473,loo-2025
Ms. Vautour#c0,Ms. Vautour,Mr. Johnston,0.5882,loo-2025
Ms. Vautour#c1,Ms. Vautour,Ms. Vautour,0.5692,loo-2025
Ms. Vautour#c2,Ms. Vautour,Ms. Vautour,0.5128,loo-2025
Ms. Vautour#c3,Ms. Vautour,Ms. Vautour,0.6374,loo-2025
Ms. Vautour#c4,Ms. Vautour,Hon. Ms. Thériault,0.6654,loo-2025
Ms. Vautour#c5,Ms. Vautour,Hon. C. Johnson,0.8018,loo-2025
Ms. Vautour#c6,Ms. Vautour,Mr. Doucet,0.7381,loo-2025
Ms. Vautour#c7,Ms. Vautour,Ms. Wilcott,0.6032,loo-2025
Ms. Vautour#c8,Ms. Vautour,Ms. Vautour,0.5925,loo-2025
Ms. Vautour#c9,Ms. Vautour,Mr. Monahan,0.6818,loo-2025
Ms. Wilcott#c0,Ms. Wilcott,Mr. Johnston,0.6738,loo-2025
Ms. Wilcott#c1,Ms. Wilcott,Ms. Wilcott,0.6823,loo-2025
Ms. Wilcott#c2,Ms. Wilcott,Ms. Wilcott,0.6654,loo-2025
Ms. Wilcott#c3,Ms. Wilcott,Mr. Oliver,0.6545,loo-2025
Ms. Wilcott#c4,Ms. Wilcott,Ms. Wilcott,0.601,loo-2025
Ms. Wilcott#c5,Ms. Wilcott,Mr. Johnston,0.6131,loo-2025
Ms. Wilcott#c6,Ms. Wilcott,Mr. Russell,0.5825,loo-2025
Ms. Wilcott#c7,Ms. Wilcott,Ms. Wilcott,0.6324,loo-2025
Ms. Wilcott#c8,Ms. Wilcott,Ms. Wilcott,0.8119,loo-2025
Ms. Wilcott#c9,Ms. Wilcott,Ms. Wilcott,0.7491,loo-2025
Ms. Wilcott#c10,Ms. Wilcott,Ms. Wilcott,0.7653,loo-2025
Ms. Wilcott#c11,Ms. Wilcott,Hon. Mr. Dornan,0.626,loo-2025
Ms. Wilcott#c12,Ms. Wilcott,Ms. M. Wilson,0.6539,loo-2025
Mr. Austin#xera,Mr. Austin,rank34,0.8414,cross-era
Mr. Coon#xera,Mr. Coon,Mr. Coon,0.7263,cross-era
Ms. Mitton#xera,Ms. Mitton,Ms. Mitton,0.7264,cross-era
# Burrows Delta MFW=150 chunk=1000w min=3 chunks; chairs excluded; profiles from 2025-26
