seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-28#t280w9,2025-10-28,Mr. Lee,Affordability and housing,317,1.0,405,3.18312,3.17238,1.00339
2025-10-28#t280w10,2025-10-28,Mr. Lee,Affordability and housing,320,1.0,392,2.82667,2.9397,0.96155
2025-10-28#t280w11,2025-10-28,Mr. Lee,Affordability and housing,319,1.0,372,3.08676,3.20462,0.96322
2025-10-28#t280w12,2025-10-28,Mr. Lee,Affordability and housing,303,1.0,363,2.79785,2.96881,0.94241
2025-10-28#t280w13,2025-10-28,Mr. Lee,Affordability and housing,360,1.0,462,2.80382,2.9904,0.93761
2025-10-28#t280w14,2025-10-28,Mr. Lee,Affordability and housing,102,0.471,130,3.64317,3.10266,1.17421
2025-10-28#t282w0,2025-10-28,Ms. Mitton,Affordability and housing,260,0.981,325,2.30727,2.3998,0.96144
2025-10-28#t282w1,2025-10-28,Ms. Mitton,Affordability and housing,315,0.8,379,2.61798,2.60975,1.00315
2025-10-28#t282w2,2025-10-28,Ms. Mitton,Affordability and housing,345,1.0,408,2.55496,2.63618,0.96919
2025-10-28#t282w3,2025-10-28,Ms. Mitton,Affordability and housing,283,1.0,337,2.76825,2.83305,0.97713
2025-10-28#t282w4,2025-10-28,Ms. Mitton,Affordability and housing,348,0.727,405,2.60406,2.74125,0.94995
2025-10-28#t282w5,2025-10-28,Ms. Mitton,Affordability and housing,320,0.412,393,2.73408,2.7767,0.98465
2025-10-28#t282w6,2025-10-28,Ms. Mitton,Affordability and housing,324,1.0,387,2.80349,2.86781,0.97757
2025-10-28#t282w7,2025-10-28,Ms. Mitton,Affordability and housing,346,1.0,419,2.55735,2.76737,0.92411
2025-10-28#t282w8,2025-10-28,Ms. Mitton,Affordability and housing,342,1.0,421,2.88724,2.8544,1.01151
2025-10-28#t282w9,2025-10-28,Ms. Mitton,Affordability and housing,282,1.0,336,2.70307,2.88717,0.93623
2025-10-28#t282w10,2025-10-28,Ms. Mitton,Affordability and housing,320,1.0,387,2.95891,2.7882,1.06123
2025-10-28#t282w11,2025-10-28,Ms. Mitton,Affordability and housing,255,1.0,308,2.77235,2.98579,0.92851
2025-10-28#t282w12,2025-10-28,Ms. Mitton,Affordability and housing,359,0.63,417,2.97457,3.19276,0.93166
2025-10-28#t282w13,2025-10-28,Ms. Mitton,Affordability and housing,271,1.0,304,2.88949,3.04029,0.9504
2025-10-28#t282w14,2025-10-28,Ms. Mitton,Affordability and housing,173,0.936,210,3.23075,3.22203,1.00271
