seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-28#t270w0,2025-10-28,Ms. Mitton,Affordability and housing,148,0.311,205,2.98304,2.97554,1.00252
2025-10-28#t271w0,2025-10-28,Hon. C. Johnson,Affordability and housing,76,0.211,93,3.05202,3.1911,0.95642
2025-10-28#t272w0,2025-10-28,Hon. Mr. D’Amours,Affordability and housing,328,0.503,426,2.56177,2.4465,1.04712
2025-10-28#t272w1,2025-10-28,Hon. Mr. D’Amours,Affordability and housing,151,0.391,184,2.7725,2.89072,0.9591
2025-10-28#t273w0,2025-10-28,Hon. Mr. McKee,Affordability and housing,116,0.655,145,2.74815,2.93591,0.93605
2025-10-28#t274w0,2025-10-28,Mr. M. LeBlanc,Affordability and housing,250,1.0,304,3.03466,2.87457,1.05569
2025-10-28#t274w1,2025-10-28,Mr. M. LeBlanc,Affordability and housing,320,1.0,379,2.90263,2.95596,0.98196
2025-10-28#t275w0,2025-10-28,Mr. Coon,Affordability and housing,325,1.0,385,2.57251,2.62694,0.97928
2025-10-28#t275w1,2025-10-28,Mr. Coon,Affordability and housing,322,1.0,368,3.01389,2.96712,1.01576
2025-10-28#t275w2,2025-10-28,Mr. Coon,Affordability and housing,103,1.0,125,3.73539,3.40948,1.09559
2025-10-28#t278w0,2025-10-28,Mr. Monahan,Affordability and housing,359,0.657,444,2.59046,2.58795,1.00097
2025-10-28#t278w1,2025-10-28,Mr. Monahan,Affordability and housing,314,0.478,385,3.01215,3.07129,0.98075
2025-10-28#t278w2,2025-10-28,Mr. Monahan,Affordability and housing,345,0.507,413,3.31699,3.35003,0.99014
2025-10-28#t278w3,2025-10-28,Mr. Monahan,Affordability and housing,302,0.609,356,3.07387,3.42219,0.89822
2025-10-28#t278w4,2025-10-28,Mr. Monahan,Affordability and housing,348,0.802,415,2.98009,2.93311,1.01602
2025-10-28#t278w5,2025-10-28,Mr. Monahan,Affordability and housing,331,0.456,395,2.96759,3.17896,0.93351
2025-10-28#t278w6,2025-10-28,Mr. Monahan,Affordability and housing,360,0.269,436,2.91275,3.19114,0.91276
2025-10-28#t278w7,2025-10-28,Mr. Monahan,Affordability and housing,357,0.65,429,2.85992,2.92526,0.97766
2025-10-28#t278w8,2025-10-28,Mr. Monahan,Affordability and housing,357,0.815,449,2.80534,2.80748,0.99924
2025-10-28#t279w0,2025-10-28,Ms. Mitton,Affordability and housing,330,0.897,394,2.97581,3.04257,0.97806
2025-10-28#t279w1,2025-10-28,Ms. Mitton,Affordability and housing,342,1.0,420,2.95804,3.14004,0.94204
2025-10-28#t279w2,2025-10-28,Ms. Mitton,Affordability and housing,67,1.0,77,3.39809,4.01882,0.84555
2025-10-28#t280w0,2025-10-28,Mr. Lee,Affordability and housing,352,1.0,424,3.48938,3.65307,0.95519
2025-10-28#t280w1,2025-10-28,Mr. Lee,Affordability and housing,160,1.0,194,3.71293,3.87588,0.95796
2025-10-28#t280w2,2025-10-28,Mr. Lee,Affordability and housing,281,1.0,348,3.63836,3.68251,0.98801
2025-10-28#t280w3,2025-10-28,Mr. Lee,Affordability and housing,338,1.0,400,2.85947,3.15339,0.90679
2025-10-28#t280w4,2025-10-28,Mr. Lee,Affordability and housing,342,1.0,423,2.89012,3.09538,0.93369
2025-10-28#t280w5,2025-10-28,Mr. Lee,Affordability and housing,233,1.0,299,3.22327,3.26827,0.98623
2025-10-28#t280w6,2025-10-28,Mr. Lee,Affordability and housing,285,1.0,372,2.79789,2.96083,0.94497
2025-10-28#t280w7,2025-10-28,Mr. Lee,Affordability and housing,320,1.0,409,3.16795,3.33412,0.95016
2025-10-28#t280w8,2025-10-28,Mr. Lee,Affordability and housing,318,1.0,391,3.27219,3.30373,0.99045
2025-10-28#t280w9,2025-10-28,Mr. Lee,Affordability and housing,317,1.0,405,3.55758,3.57258,0.9958
2025-10-28#t280w10,2025-10-28,Mr. Lee,Affordability and housing,320,1.0,392,2.97748,3.15554,0.94357
2025-10-28#t280w11,2025-10-28,Mr. Lee,Affordability and housing,319,1.0,372,3.38002,3.55863,0.94981
2025-10-28#t280w12,2025-10-28,Mr. Lee,Affordability and housing,303,1.0,363,3.08738,3.24316,0.95197
2025-10-28#t280w13,2025-10-28,Mr. Lee,Affordability and housing,360,1.0,462,3.23688,3.401,0.95174
2025-10-28#t280w14,2025-10-28,Mr. Lee,Affordability and housing,102,0.471,130,3.33725,3.4197,0.97589
2025-10-28#t282w0,2025-10-28,Ms. Mitton,Affordability and housing,260,0.981,325,2.4431,2.68928,0.90846
2025-10-28#t282w1,2025-10-28,Ms. Mitton,Affordability and housing,315,0.8,379,2.71869,2.84696,0.95495
2025-10-28#t282w2,2025-10-28,Ms. Mitton,Affordability and housing,345,1.0,408,2.70312,2.88059,0.93839
2025-10-28#t282w3,2025-10-28,Ms. Mitton,Affordability and housing,283,1.0,337,3.02774,3.0049,1.0076
2025-10-28#t282w4,2025-10-28,Ms. Mitton,Affordability and housing,348,0.727,405,2.74428,3.08394,0.88986
2025-10-28#t282w5,2025-10-28,Ms. Mitton,Affordability and housing,320,0.412,393,3.11021,3.03022,1.0264
2025-10-28#t282w6,2025-10-28,Ms. Mitton,Affordability and housing,324,1.0,387,2.98891,3.15843,0.94633
2025-10-28#t282w7,2025-10-28,Ms. Mitton,Affordability and housing,346,1.0,419,2.84031,3.01619,0.94169
2025-10-28#t282w8,2025-10-28,Ms. Mitton,Affordability and housing,342,1.0,421,3.15074,3.18181,0.99023
2025-10-28#t282w9,2025-10-28,Ms. Mitton,Affordability and housing,282,1.0,336,3.02108,3.24,0.93243
2025-10-28#t282w10,2025-10-28,Ms. Mitton,Affordability and housing,320,1.0,387,3.16282,2.98698,1.05887
2025-10-28#t282w11,2025-10-28,Ms. Mitton,Affordability and housing,255,1.0,308,2.79457,2.95108,0.94697
2025-10-28#t282w12,2025-10-28,Ms. Mitton,Affordability and housing,359,0.63,417,2.93543,3.19167,0.91972
2025-10-28#t282w13,2025-10-28,Ms. Mitton,Affordability and housing,271,1.0,304,3.03538,3.1494,0.9638
2025-10-28#t282w14,2025-10-28,Ms. Mitton,Affordability and housing,173,0.936,210,3.3344,3.18907,1.04557
