seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-28#t280w14,2025-10-28,Mr. Lee,Affordability and housing,102,0.471,133,2.62795,2.4842,1.05787
2025-10-28#t282w0,2025-10-28,Ms. Mitton,Affordability and housing,260,0.981,324,2.2654,2.30274,0.98378
2025-10-28#t282w1,2025-10-28,Ms. Mitton,Affordability and housing,315,0.8,381,2.41065,2.36415,1.01967
2025-10-28#t282w2,2025-10-28,Ms. Mitton,Affordability and housing,345,1.0,416,2.27013,2.41543,0.93984
2025-10-28#t282w3,2025-10-28,Ms. Mitton,Affordability and housing,283,1.0,337,2.51368,2.60579,0.96465
2025-10-28#t282w4,2025-10-28,Ms. Mitton,Affordability and housing,348,0.727,414,2.47603,2.57605,0.96117
2025-10-28#t282w5,2025-10-28,Ms. Mitton,Affordability and housing,320,0.412,403,2.51018,2.50987,1.00012
2025-10-28#t282w6,2025-10-28,Ms. Mitton,Affordability and housing,324,1.0,400,2.55735,2.61725,0.97711
2025-10-28#t282w7,2025-10-28,Ms. Mitton,Affordability and housing,346,1.0,428,2.50737,2.59947,0.96457
2025-10-28#t282w8,2025-10-28,Ms. Mitton,Affordability and housing,342,1.0,424,2.77207,2.76132,1.00389
2025-10-28#t282w9,2025-10-28,Ms. Mitton,Affordability and housing,282,1.0,345,2.65597,2.73109,0.97249
2025-10-28#t282w10,2025-10-28,Ms. Mitton,Affordability and housing,320,1.0,393,2.62911,2.47837,1.06082
2025-10-28#t282w11,2025-10-28,Ms. Mitton,Affordability and housing,255,1.0,316,2.34578,2.42534,0.96719
2025-10-28#t282w12,2025-10-28,Ms. Mitton,Affordability and housing,359,0.63,425,2.5501,2.70427,0.94299
2025-10-28#t282w13,2025-10-28,Ms. Mitton,Affordability and housing,271,1.0,309,2.63545,2.70131,0.97562
2025-10-28#t282w14,2025-10-28,Ms. Mitton,Affordability and housing,173,0.936,215,2.82217,2.67268,1.05593
