seg_id,date,speaker,n_words,orig_frac,n_tok,logppl,fastdetect_d,lrr
2025-11-18#t973w0,2025-11-18,Hon. Mr. Hickey,180,1.0,213,2.71126,0.99052,2.00216
2025-11-18#t974w0,2025-11-18,Mr. Savoie,153,1.0,192,2.68819,-0.3283,2.07297
2025-11-18#t975w0,2025-11-18,Hon. Ms. Holt,193,1.0,232,2.52095,-0.09789,1.99422
2025-11-18#t976w0,2025-11-18,Ms. Mitton,135,1.0,159,3.10579,0.00919,1.91172
2025-11-18#t977w0,2025-11-18,Hon. Mr. Dornan,146,1.0,174,2.52564,0.84438,2.10726
2025-11-18#t978w0,2025-11-18,Ms. Mitton,141,0.106,166,2.8817,-0.35253,1.95213
2025-11-18#t979w0,2025-11-18,Hon. Ms. Boudreau,178,0.197,227,2.18,1.92283,2.2254
2025-11-18#t980w0,2025-11-18,Mr. Savoie,194,1.0,255,2.5295,0.24257,2.07806
2025-11-18#t981w0,2025-11-18,Hon. Mr. Dornan,128,1.0,165,2.93572,-1.67793,2.04758
2025-11-18#t982w0,2025-11-18,Mr. Savoie,192,1.0,235,2.59367,-1.41166,2.11833
2025-11-18#t983w0,2025-11-18,Hon. Ms. Holt,192,1.0,240,2.51773,0.31563,2.02961
2025-11-18#t990w0,2025-11-18,Ms. M. Wilson,324,1.0,395,2.55063,-1.02713,2.00522
2025-11-18#t990w1,2025-11-18,Ms. M. Wilson,135,1.0,168,2.7721,-0.07981,2.17098
2025-11-18#t992w0,2025-11-18,Hon. Ms. Miles,166,0.729,198,2.46548,0.09402,2.00104
2025-11-18#t993w0,2025-11-18,Ms. M. Johnson,192,1.0,217,2.51529,-0.02384,2.03467
2025-11-18#t994w0,2025-11-18,Mr. Coon,174,1.0,225,2.87147,-1.38028,1.97528
2025-11-18#t995w0,2025-11-18,Hon. Mr. McKee,244,0.623,290,2.33937,1.06794,2.06161
2025-11-18#t996w0,2025-11-18,Mr. Weir,284,1.0,358,2.52117,0.1145,2.08297
2025-11-18#t997w0,2025-11-18,Mr. Coon,173,1.0,221,2.50079,0.69689,2.03102
2025-11-18#t998w0,2025-11-18,Hon. Mr. Dornan,239,0.849,294,2.43316,1.34688,2.09442
2025-11-18#t999w0,2025-11-18,Mr. Hogan,243,0.72,286,2.62301,-0.59987,2.08309
2025-11-18#t1000w0,2025-11-18,Mr. Coon,359,0.858,457,2.64885,-2.1405,1.99972
2025-11-18#t1001w0,2025-11-18,Mr. M. LeBlanc,62,1.0,89,2.07923,-0.35571,2.1762
2025-11-18#t1002w0,2025-11-18,Mr. Coon,353,1.0,412,2.44261,-1.43805,2.12155
2025-11-18#t1003w0,2025-11-18,Mr. Hogan,357,1.0,434,2.38428,0.14471,2.13928
2025-11-18#t1003w1,2025-11-18,Mr. Hogan,149,1.0,200,2.41205,0.19997,2.05523
2025-11-18#t1004w0,2025-11-18,,342,1.0,435,2.42991,0.69483,2.0678
2025-11-18#t1004w1,2025-11-18,,348,1.0,430,2.5095,0.20439,2.09306
2025-11-18#t1004w2,2025-11-18,,168,0.893,216,2.51848,-0.33125,2.01828
2025-11-18#t1008w0,2025-11-18,Mr. Cullins,154,1.0,186,2.3967,0.53107,2.09091
2025-11-18#t1010w0,2025-11-18,Mr. M. LeBlanc,54,1.0,70,2.60011,-0.0405,2.14827
2025-11-18#t1012w0,2025-11-18,Mr. Cullins,359,0.758,453,2.20099,-0.51016,2.04412
2025-11-18#t1012w1,2025-11-18,Mr. Cullins,348,0.408,435,2.42645,0.46514,2.06323
2025-11-18#t1012w2,2025-11-18,Mr. Cullins,136,0.831,170,2.26031,0.37453,2.05865
2025-11-18#t1014w0,2025-11-18,Mr. Austin,326,1.0,389,2.59324,0.11338,2.08628
2025-11-18#t1014w1,2025-11-18,Mr. Austin,322,1.0,373,2.66075,0.32893,2.03789
2025-11-18#t1014w2,2025-11-18,Mr. Austin,198,1.0,247,2.50941,-0.13451,2.02791
2025-11-18#t1015w0,2025-11-18,,356,0.593,442,2.17941,0.7155,2.06936
2025-11-18#t1015w1,2025-11-18,,213,0.793,240,2.44503,1.04762,2.05896
2025-11-18#t1016w0,2025-11-18,Madam Speaker,82,1.0,113,2.92392,-1.19901,1.91771
2025-11-18#t1017w0,2025-11-18,Mr. Ames,345,1.0,422,2.42113,1.45498,2.07895
2025-11-18#t1017w1,2025-11-18,Mr. Ames,348,0.402,432,2.44188,0.78544,1.98193
2025-11-18#t1017w2,2025-11-18,Mr. Ames,344,0.224,392,2.30302,-0.35069,2.04129
2025-11-18#t1017w3,2025-11-18,Mr. Ames,211,0.166,256,2.17709,2.90597,2.04695
2025-11-18#t1018w0,2025-11-18,Mr. Ames,339,1.0,421,2.37736,2.19663,2.06749
2025-11-18#t1018w1,2025-11-18,Mr. Ames,72,1.0,91,3.00937,0.01524,2.04208
2025-11-18#t1019w0,2025-11-18,Mr. Coon,348,1.0,478,2.31171,0.01823,2.13127
2025-11-18#t1019w1,2025-11-18,Mr. Coon,275,1.0,370,2.75025,0.30399,1.96121
2025-11-18#t1019w2,2025-11-18,Mr. Coon,328,1.0,411,2.86068,0.06127,1.99328
2025-11-18#t1019w3,2025-11-18,Mr. Coon,284,1.0,373,2.92984,-0.84615,1.93427
2025-11-18#t1019w4,2025-11-18,Mr. Coon,167,1.0,211,2.6095,0.2927,2.1182
2025-11-18#t1020w0,2025-11-18,Mr. Austin,280,1.0,343,2.3076,1.33645,2.13608
2025-11-18#t1020w1,2025-11-18,Mr. Austin,319,1.0,386,2.65538,0.30212,2.04237
2025-11-18#t1020w2,2025-11-18,Mr. Austin,321,1.0,380,2.47632,1.4652,2.09454
2025-11-18#t1020w3,2025-11-18,Mr. Austin,295,1.0,354,2.59056,0.99537,2.01319
2025-11-18#t1020w4,2025-11-18,Mr. Austin,271,1.0,335,2.47343,1.64093,2.11084
2025-11-18#t1020w5,2025-11-18,Mr. Austin,324,0.914,398,2.56391,-0.22408,2.04562
2025-11-19#t1023w0,2025-11-19,Hon. Ms. Boudreau,171,0.0,218,2.73516,-0.63036,1.95987
2025-11-19#t1024w0,2025-11-19,Mr. Russell,140,1.0,178,2.32043,1.13105,2.11806
2025-11-19#t1025w0,2025-11-19,Mr. Bourque,130,0.0,168,2.61965,0.02437,1.97541
2025-11-19#t1026w0,2025-11-19,Ms. M. Johnson,327,1.0,409,2.41725,-0.07331,2.06294
2025-11-19#t1027w0,2025-11-19,Hon. Ms. Holt,198,1.0,253,2.25815,-0.84155,2.03357
2025-11-19#t1028w0,2025-11-19,Ms. Bockus,151,1.0,183,2.66912,0.29582,1.90111
2025-11-19#t1029w0,2025-11-19,Mr. Coon,144,1.0,197,1.99319,1.5036,2.14102
2025-11-19#t1030w0,2025-11-19,Mr. Johnston,136,0.971,192,2.76667,-0.61052,1.97043
2025-11-19#t1031w0,2025-11-19,Mr. Oliver,146,1.0,190,2.4155,-0.70472,2.08793
2025-11-19#t1032w0,2025-11-19,Ms. Mitton,162,1.0,210,1.8507,1.05056,2.14672
2025-11-19#t1033w0,2025-11-19,Mr. Weir,153,1.0,194,2.46268,0.55129,2.03076
2025-11-19#t1034w0,2025-11-19,Ms. Mitton,168,1.0,209,2.44253,-0.20971,2.13271
2025-11-19#t1035w0,2025-11-19,Mr. J. LeBlanc,105,1.0,130,2.64676,-0.28046,2.09615
2025-11-19#t1036w0,2025-11-19,Ms. Conroy,153,1.0,202,2.31079,-0.95514,2.01065
2025-11-19#t1037w0,2025-11-19,Ms. Vautour,147,0.0,177,2.48665,1.63596,2.12767
2025-11-19#t1038w0,2025-11-19,Mr. Hogan,148,1.0,190,2.80758,-1.01576,1.98091
2025-11-19#t1039w0,2025-11-19,Mr. Robichaud,168,0.202,216,2.52977,-1.12001,2.11313
2025-11-19#t1040w0,2025-11-19,Mr. Lee,157,1.0,196,2.5521,1.10466,2.01997
2025-11-19#t1041w0,2025-11-19,Ms. Wilcott,83,0.602,104,2.37516,-0.42911,2.09454
2025-11-19#t1042w0,2025-11-19,Mr. Austin,184,1.0,230,2.89683,-1.48826,1.98741
2025-11-19#t1043w0,2025-11-19,Mr. Savoie,110,1.0,130,2.34841,-0.24587,2.0862
2025-11-19#t1044w0,2025-11-19,Hon. Ms. Holt,154,0.0,192,2.45619,-0.19358,2.0186
2025-11-19#t1046w0,2025-11-19,Hon. Mr. McKee,156,1.0,204,2.56283,-1.67075,2.07357
2025-11-19#t1048w0,2025-11-19,Hon. Mr. McKee,67,1.0,89,2.37946,0.37587,2.16502
2025-11-19#t1049w0,2025-11-19,Hon. Mr. McKee,93,1.0,119,2.80085,-1.09689,1.97685
2025-11-19#t1050w0,2025-11-19,Mr. Savoie,168,1.0,212,2.07415,0.32154,2.05809
2025-11-19#t1051w0,2025-11-19,Hon. Mr. Dornan,178,1.0,225,2.65362,-0.06419,2.15177
2025-11-19#t1052w0,2025-11-19,Mr. Savoie,114,1.0,134,2.65324,-0.24478,2.00664
2025-11-19#t1053w0,2025-11-19,Hon. Mr. Dornan,187,1.0,218,2.47832,0.89945,2.10762
2025-11-19#t1054w0,2025-11-19,Mr. Savoie,85,1.0,99,2.48333,-0.84179,1.96552
2025-11-19#t1055w0,2025-11-19,Hon. Mr. Dornan,148,1.0,180,2.73152,-0.22068,2.00512
2025-11-19#t1056w0,2025-11-19,Mr. Savoie,72,1.0,92,2.66347,0.06878,1.91677
2025-11-19#t1057w0,2025-11-19,Hon. Mr. Dornan,115,1.0,137,2.77573,-0.26919,2.02323
2025-11-19#t1058w0,2025-11-19,Mr. Austin,185,1.0,226,2.65721,-0.93479,2.00422
2025-11-19#t1059w0,2025-11-19,Hon. Mr. Herron,104,1.0,123,2.81584,-1.42752,2.0087
2025-11-19#t1060w0,2025-11-19,Mr. Austin,183,1.0,243,2.22313,0.29327,2.10802
2025-11-19#t1061w0,2025-11-19,Hon. Mr. Herron,111,1.0,152,2.20621,0.183,2.1349
2025-11-19#t1062w0,2025-11-19,Mr. Austin,183,1.0,230,2.70178,-1.38939,2.02798
2025-11-19#t1063w0,2025-11-19,Hon. Mr. Herron,174,1.0,211,2.93227,-1.2118,1.89066
2025-11-19#t1064w0,2025-11-19,Mr. Monahan,155,1.0,197,2.62653,-1.3149,2.09068
2025-11-19#t1065w0,2025-11-19,Hon. Mr. McKee,151,1.0,199,2.2711,-0.02678,2.11183
2025-11-19#t1066w0,2025-11-19,M. Monahan,149,0.0,185,2.6036,-0.71861,2.05589
2025-11-19#t1067w0,2025-11-19,Hon. Mr. McKee,138,0.0,169,2.74697,-0.65285,1.96599
2025-11-19#t1068w0,2025-11-19,Mr. Monahan,152,1.0,192,3.02019,-1.7513,1.90589
2025-11-19#t1069w0,2025-11-19,Hon. Mr. McKee,151,1.0,186,2.87544,-0.40885,1.95766
2025-11-19#t1070w0,2025-11-19,Mr. Coon,150,1.0,181,2.975,-0.48255,2.07344
2025-11-19#t1071w0,2025-11-19,Hon. K. Chiasson,107,1.0,132,2.93352,-0.22883,1.93085
2025-11-19#t1072w0,2025-11-19,Mr. Coon,127,1.0,160,2.78831,-2.06848,2.09126
2025-11-19#t1073w0,2025-11-19,Hon. K. Chiasson,101,1.0,126,2.65568,-1.61534,2.04488
2025-11-19#t1074w0,2025-11-19,Mr. Coon,124,0.137,147,2.77226,-1.31039,1.97517
2025-11-19#t1075w0,2025-11-19,Hon. K. Chiasson,141,0.972,176,2.47042,-0.57962,1.9604
2025-11-19#t1076w0,2025-11-19,Mr. Savoie,153,1.0,202,2.74288,-0.72203,1.95073
2025-11-19#t1077w0,2025-11-19,Hon. Ms. Holt,74,0.527,98,2.54915,-0.34138,2.0223
2025-11-19#t1079w0,2025-11-19,Hon. Ms. Holt,94,1.0,113,2.90154,-0.26502,1.94802
2025-11-19#t1081w0,2025-11-19,Mr. J. LeBlanc,104,0.0,138,2.75109,-1.62722,1.98883
2025-11-19#t1082w0,2025-11-19,Hon. Mr. Herron,337,0.772,402,2.20354,0.46418,2.17439
2025-11-19#t1082w1,2025-11-19,Hon. Mr. Herron,139,1.0,171,2.78049,-0.1329,1.96322
2025-11-19#t1083w0,2025-11-19,Mr. Austin,309,1.0,396,2.61933,-0.27831,2.02032
2025-11-19#t1083w1,2025-11-19,Mr. Austin,280,1.0,351,2.80653,-0.05566,1.9819
2025-11-19#t1084w0,2025-11-19,Mr. Coon,353,1.0,444,2.47576,0.96744,2.0785
2025-11-19#t1084w1,2025-11-19,Mr. Coon,192,1.0,230,3.08987,-1.48303,1.94649
2025-11-19#t1085w0,2025-11-19,Hon. Mr. Hickey,285,0.775,328,2.33391,0.94194,2.16166
2025-11-19#t1086w0,2025-11-19,Ms. Conroy,259,1.0,317,2.37113,0.54919,2.11551
2025-11-19#t1087w0,2025-11-19,Ms. Mitton,287,0.829,339,2.53307,-0.00882,2.11993
2025-11-19#t1088w0,2025-11-19,Hon. Mr. Dornan,163,0.798,190,2.1294,0.14508,2.08882
2025-11-19#t1089w0,2025-11-19,Mr. Hogan,207,1.0,242,2.5119,-0.76533,2.05356
2025-11-19#t1090w0,2025-11-19,Mr. Coon,195,0.851,237,2.47514,0.5073,2.11486
2025-11-19#t1091w0,2025-11-19,Ms. Vautour,67,0.0,86,3.21606,-0.59306,1.76764
2025-11-19#t1093w0,2025-11-19,Ms. Vautour,67,0.0,86,3.21606,-0.59306,1.76764
2025-11-19#t1094w0,2025-11-19,Ms. M. Johnson,94,0.957,130,2.59672,-1.82283,1.94059
2025-11-19#t1096w0,2025-11-19,Madam Speaker,286,0.528,370,1.97145,0.67281,2.14743
2025-11-19#t1096w1,2025-11-19,Madam Speaker,298,1.0,349,2.55714,0.74918,2.05027
2025-11-19#t1096w2,2025-11-19,Madam Speaker,93,1.0,117,2.91897,0.04753,1.91844
2025-11-20#t1098w0,2025-11-20,Mr. Doucet,250,1.0,305,2.04835,2.22259,2.17791
2025-11-20#t1099w0,2025-11-20,Ms. Scott-Wallace,303,1.0,363,2.27929,0.61827,2.00436
2025-11-20#t1100w0,2025-11-20,Mr. Monahan,176,1.0,213,2.34652,0.60863,1.97764
2025-11-20#t1101w0,2025-11-20,Mr. J. LeBlanc,148,0.372,184,1.94199,1.48836,2.27264
2025-11-20#t1102w0,2025-11-20,Mr. Hogan,142,1.0,193,2.31182,-0.12623,2.05819
2025-11-20#t1103w0,2025-11-20,Mr. Coon,156,1.0,203,2.31637,-0.63438,2.1273
2025-11-20#t1104w0,2025-11-20,Ms. Vautour,154,0.0,216,2.35149,-0.94323,2.03663
2025-11-20#t1105w0,2025-11-20,Ms. S. Wilson,250,1.0,310,2.0149,1.91235,2.21783
2025-11-20#t1106w0,2025-11-20,Ms. Mitton,161,1.0,210,1.92386,0.35862,2.19403
2025-11-20#t1107w0,2025-11-20,Ms. Wilcott,133,1.0,163,2.69093,-1.29182,2.02696
2025-11-20#t1108w0,2025-11-20,Mr. Russell,138,1.0,161,2.30223,-0.16171,2.17612
2025-11-20#t1109w0,2025-11-20,Ms. Mitton,161,1.0,195,2.51156,-1.19411,2.08651
2025-11-20#t1110w0,2025-11-20,Mr. Johnston,157,0.968,182,2.68467,0.02877,2.01592
2025-11-20#t1111w0,2025-11-20,Mr. Oliver,153,1.0,183,2.53086,0.30605,2.02648
2025-11-20#t1112w0,2025-11-20,Mr. Mallet,124,0.0,155,2.81187,-1.07775,1.98292
2025-11-20#t1113w0,2025-11-20,Ms. Scott-Wallace,142,1.0,173,2.80559,-0.21943,1.99684
2025-11-20#t1114w0,2025-11-20,Ms. Sodhi,138,1.0,171,2.38774,-0.80863,1.99184
2025-11-20#t1115w0,2025-11-20,Mr. Cullins,144,1.0,176,2.99916,-0.24211,1.89857
2025-11-20#t1116w0,2025-11-20,Mr. M. LeBlanc,184,1.0,221,2.53142,-0.20965,1.96026
2025-11-20#t1117w0,2025-11-20,Ms. S. Wilson,150,1.0,183,2.67052,1.33269,2.00529
2025-11-20#t1118w0,2025-11-20,Mr. Savoie,145,0.89,195,2.34159,0.26867,2.00136
2025-11-20#t1119w0,2025-11-20,Hon. C. Johnson,106,1.0,122,2.75313,-1.72918,1.98885
2025-11-20#t1120w0,2025-11-20,Mr. Savoie,158,1.0,199,2.7286,-0.02963,1.94402
2025-11-20#t1121w0,2025-11-20,Hon. Ms. Holt,161,0.894,200,2.74276,0.79207,2.111
2025-11-20#t1122w0,2025-11-20,Mr. Savoie,156,1.0,193,2.722,0.42621,2.03722
2025-11-20#t1123w0,2025-11-20,Hon. C. Johnson,101,1.0,116,2.82448,-0.68833,2.04497
2025-11-20#t1124w0,2025-11-20,Mr. Savoie,178,1.0,221,2.659,-0.6708,2.0364
2025-11-20#t1125w0,2025-11-20,Hon. C. Johnson,110,1.0,136,2.94224,-1.06796,1.98284
2025-11-20#t1126w0,2025-11-20,Mr. Savoie,55,1.0,71,2.31517,0.54382,2.17822
2025-11-20#t1127w0,2025-11-20,Hon. C. Johnson,125,0.0,155,2.60018,-0.20375,2.00862
2025-11-20#t1128w0,2025-11-20,Mr. Savoie,92,1.0,111,2.64167,-0.95905,2.00378
2025-11-20#t1129w0,2025-11-20,Hon. C. Johnson,111,1.0,130,2.93096,-0.97326,1.92993
2025-11-20#t1130w0,2025-11-20,Ms. M. Johnson,115,1.0,163,2.4531,-1.20917,1.98989
2025-11-20#t1131w0,2025-11-20,Hon. Mr. Hickey,183,1.0,224,2.37416,-0.38357,2.09063
2025-11-20#t1132w0,2025-11-20,Ms. M. Johnson,160,1.0,216,2.64928,-0.98939,1.99535
2025-11-20#t1133w0,2025-11-20,Hon. Mr. Hickey,179,1.0,216,2.64336,-0.69026,1.98316
2025-11-20#t1134w0,2025-11-20,Ms. M. Johnson,186,1.0,226,2.89122,-0.50434,2.02335
2025-11-20#t1136w0,2025-11-20,Hon. Mr. Hickey,149,1.0,175,3.30772,-2.40943,1.98095
2025-11-20#t1139w0,2025-11-20,Mr. Cullins,72,1.0,84,3.11938,1.11939,1.88119
2025-11-20#t1140w0,2025-11-20,Hon. Mr. Dornan,138,1.0,174,3.0571,-0.83061,1.98695
2025-11-20#t1141w0,2025-11-20,Mr. Cullins,74,1.0,95,2.68944,0.26913,2.02059
2025-11-20#t1142w0,2025-11-20,Hon. Mr. Dornan,122,1.0,160,2.69622,-0.2621,2.00194
2025-11-20#t1143w0,2025-11-20,Mr. Coon,160,1.0,216,2.48762,-0.67066,1.97375
2025-11-20#t1144w0,2025-11-20,Hon. Mr. LePage,97,0.0,116,3.00814,-0.30768,1.90863
2025-11-20#t1145w0,2025-11-20,Mr. Coon,161,1.0,203,2.84773,-1.04101,1.84784
2025-11-20#t1146w0,2025-11-20,Hon. K. Chiasson,147,1.0,181,2.56917,-0.15846,2.04761
2025-11-20#t1147w0,2025-11-20,Mr. Austin,144,1.0,162,2.54999,-0.69504,2.0503
2025-11-20#t1148w0,2025-11-20,Hon. Mr. Herron,157,1.0,184,2.99617,0.10512,1.91553
2025-11-20#t1149w0,2025-11-20,Mr. Austin,175,1.0,206,2.85853,-1.74926,1.91236
2025-11-20#t1150w0,2025-11-20,Hon. Mr. Herron,165,1.0,197,2.55364,-0.77299,1.99925
2025-11-20#t1152w0,2025-11-20,Mr. Lee,134,1.0,158,2.84863,-1.09821,1.9649
2025-11-20#t1153w0,2025-11-20,Hon. C. Johnson,120,1.0,152,2.68557,-1.56484,2.01484
2025-11-20#t1154w0,2025-11-20,Mr. Lee,111,1.0,145,2.73894,-0.21971,1.96294
2025-11-20#t1155w0,2025-11-20,Hon. C. Johnson,72,1.0,85,2.84275,0.43302,2.02527
2025-11-20#t1157w0,2025-11-20,Hon. Ms. Boudreau,167,0.251,227,2.24081,-0.49991,2.04524
2025-11-20#t1158w0,2025-11-20,Ms. Scott-Wallace,208,1.0,254,2.43382,0.95786,2.21493
2025-11-20#t1159w0,2025-11-20,Ms. Mitton,164,0.884,212,2.24365,-0.45283,2.19008
2025-11-20#t1161w0,2025-11-20,Hon. Mr. Randall,246,0.894,304,2.32554,0.6655,2.00133
2025-11-20#t1162w0,2025-11-20,Mr. Russell,129,1.0,156,2.40884,0.33533,2.02192
2025-11-20#t1163w0,2025-11-20,Mr. Coon,280,1.0,348,2.67774,0.62186,2.0221
2025-11-20#t1164w0,2025-11-20,Hon. Mr. Finnigan,242,0.645,300,2.10124,0.61327,2.08531
2025-11-20#t1165w0,2025-11-20,Ms. Scott-Wallace,242,1.0,296,2.53813,-0.75597,2.08683
2025-11-20#t1166w0,2025-11-20,Ms. Mitton,242,0.938,282,2.63223,0.6495,2.06167
2025-11-20#t1168w0,2025-11-20,Hon. Mr. Dornan,294,0.874,352,2.46503,-0.58759,2.01569
2025-11-20#t1170w0,2025-11-20,Mr. Hogan,299,1.0,357,2.46301,-0.19157,2.1057
2025-11-20#t1170w1,2025-11-20,Mr. Hogan,85,1.0,120,2.54711,0.11978,2.01546
2025-11-20#t1171w0,2025-11-20,Mr. Coon,316,1.0,386,2.63928,-0.89186,2.00393
2025-11-20#t1172w0,2025-11-20,Mr. Deputy Speaker,347,0.767,440,2.20526,0.94733,2.06021
2025-11-20#t1173w0,2025-11-20,Ms. M. Johnson,52,1.0,76,3.05095,-1.7012,1.93944
2025-11-20#t1174w0,2025-11-20,Mr. Deputy Speaker,327,0.398,420,2.44051,0.98934,2.01744
2025-11-20#t1174w1,2025-11-20,Mr. Deputy Speaker,325,0.745,395,2.31936,1.00548,2.1108
2025-11-20#t1174w2,2025-11-20,Mr. Deputy Speaker,84,1.0,108,2.94272,-0.3435,1.93878
2025-11-20#t1177w0,2025-11-20,Mr. M. LeBlanc,60,1.0,76,2.96852,-0.18795,1.87544
2025-11-20#t1180w0,2025-11-20,Mr. Deputy Speaker,103,1.0,130,2.97649,-0.65917,1.93208
2025-11-20#t1188w0,2025-11-20,Ms. M. Johnson,323,1.0,407,2.27234,2.07328,2.16154
2025-11-20#t1188w1,2025-11-20,Ms. M. Johnson,313,1.0,380,2.82521,-0.31847,1.9059
2025-11-20#t1188w2,2025-11-20,Ms. M. Johnson,354,1.0,433,2.41958,0.22565,2.004
2025-11-20#t1188w3,2025-11-20,Ms. M. Johnson,292,1.0,346,2.47482,-0.56087,2.00968
2025-11-20#t1189w0,2025-11-20,Mr. M. LeBlanc,203,1.0,256,2.69706,-0.86092,1.96136
2025-11-20#t1191w0,2025-11-20,Mr. Deputy Speaker,344,1.0,453,2.31725,0.07036,2.05391
2025-11-20#t1191w1,2025-11-20,Mr. Deputy Speaker,317,1.0,421,2.39456,0.27147,2.06986
2025-11-20#t1192w0,2025-11-20,Mr. Weir,331,1.0,405,2.52757,1.06837,2.0339
2025-11-20#t1192w1,2025-11-20,Mr. Weir,355,1.0,421,2.39572,2.52838,2.14479
2025-11-20#t1192w2,2025-11-20,Mr. Weir,334,1.0,421,2.71591,-1.12732,1.99502
2025-11-20#t1192w3,2025-11-20,Mr. Weir,360,1.0,428,2.67221,-0.14207,2.05717
2025-11-20#t1192w4,2025-11-20,Mr. Weir,261,1.0,315,2.56167,0.86063,2.09716
2025-11-20#t1192w5,2025-11-20,Mr. Weir,266,1.0,335,2.68342,-0.07865,2.00237
2025-11-20#t1192w6,2025-11-20,Mr. Weir,253,1.0,321,2.64368,-0.65017,2.01442
2025-11-20#t1192w7,2025-11-20,Mr. Weir,352,1.0,445,2.44428,1.41158,2.14212
2025-11-20#t1192w8,2025-11-20,Mr. Weir,355,1.0,452,2.48722,0.23876,2.09531
2025-11-20#t1194w0,2025-11-20,Hon. Mr. McKee,327,0.896,391,2.15553,1.38427,2.20194
2025-11-20#t1194w1,2025-11-20,Hon. Mr. McKee,318,1.0,415,3.09296,-1.59119,1.87582
2025-11-20#t1194w2,2025-11-20,Hon. Mr. McKee,347,1.0,427,2.58416,0.21612,2.00477
2025-11-20#t1194w3,2025-11-20,Hon. Mr. McKee,319,0.834,395,2.65658,0.48076,1.98707
2025-11-20#t1194w4,2025-11-20,Hon. Mr. McKee,318,0.283,386,2.74306,0.03504,1.99377
2025-11-20#t1194w5,2025-11-20,Hon. Mr. McKee,298,1.0,372,2.27806,1.77695,2.10238
2025-11-20#t1198w0,2025-11-20,Mr. Hogan,346,1.0,416,2.4474,0.25775,2.14592
2025-11-20#t1198w1,2025-11-20,Mr. Hogan,287,1.0,363,2.49952,1.14945,2.0862
2025-11-20#t1199w0,2025-11-20,Mr. Hogan,336,1.0,423,2.32854,1.9372,2.15821
2025-11-20#t1199w1,2025-11-20,Mr. Hogan,337,1.0,435,2.35002,1.56294,2.10376
2025-11-20#t1199w2,2025-11-20,Mr. Hogan,231,1.0,297,2.44976,-1.7481,2.02854
2025-11-20#t1202w0,2025-11-20,Mr. M. LeBlanc,73,1.0,100,2.76576,-0.73611,1.88924
2025-11-20#t1203w0,2025-11-20,Mr. Deputy Speaker,77,1.0,97,3.26844,1.05036,1.89116
2025-11-20#t1204w0,2025-11-20,Ms. Sodhi,316,1.0,394,2.41688,-0.45093,2.10921
2025-11-20#t1204w1,2025-11-20,Ms. Sodhi,252,1.0,331,2.86932,-0.89625,1.94334
2025-11-20#t1204w2,2025-11-20,Ms. Sodhi,313,1.0,395,2.53535,0.39852,2.03329
2025-11-20#t1205w0,2025-11-20,Ms. M. Wilson,336,1.0,425,2.44638,1.07477,2.13457
2025-11-20#t1205w1,2025-11-20,Ms. M. Wilson,346,1.0,418,2.73533,-0.60178,2.00088
2025-11-20#t1205w2,2025-11-20,Ms. M. Wilson,340,1.0,407,2.63505,-1.11103,2.03983
2025-11-20#t1205w3,2025-11-20,Ms. M. Wilson,291,1.0,379,2.75108,-0.8828,1.97936
2025-11-20#t1205w4,2025-11-20,Ms. M. Wilson,265,1.0,344,2.24942,0.11634,2.12498
2025-11-20#t1205w5,2025-11-20,Ms. M. Wilson,262,1.0,312,2.47663,0.80471,2.02709
2025-11-20#t1205w6,2025-11-20,Ms. M. Wilson,341,1.0,425,2.59737,-0.07854,2.03354
2025-11-20#t1205w7,2025-11-20,Ms. M. Wilson,202,1.0,242,2.61511,-1.01659,2.07079
2025-11-20#t1206w0,2025-11-20,Ms. Mitton,321,1.0,398,2.28068,0.45368,2.12931
2025-11-20#t1206w1,2025-11-20,Ms. Mitton,359,1.0,446,2.32208,0.35624,2.05759
2025-11-20#t1206w2,2025-11-20,Ms. Mitton,231,1.0,280,2.7214,0.38777,2.04802
2025-11-20#t1206w3,2025-11-20,Ms. Mitton,335,1.0,403,2.46274,0.27616,2.07758
2025-11-20#t1206w4,2025-11-20,Ms. Mitton,307,1.0,372,2.35098,0.60687,2.18382
2025-11-20#t1208w0,2025-11-20,Mr. Robichaud,339,0.0,406,2.41387,-0.50429,2.10477
2025-11-20#t1208w1,2025-11-20,Mr. Robichaud,332,0.0,418,2.50557,0.05726,2.12841
2025-11-20#t1208w2,2025-11-20,Mr. Robichaud,331,0.0,390,2.54726,0.53814,2.13672
2025-11-20#t1208w3,2025-11-20,Mr. Robichaud,249,0.0,300,2.77611,-0.00848,1.99398
2025-11-20#t1208w4,2025-11-20,Mr. Robichaud,329,0.0,406,3.07618,-1.9008,1.94577
2025-11-20#t1208w5,2025-11-20,Mr. Robichaud,303,0.0,380,2.97264,-0.77067,1.92322
2025-11-20#t1208w6,2025-11-20,Mr. Robichaud,147,0.0,182,2.89615,0.00083,1.99423
2025-11-20#t1209w0,2025-11-20,Mr. Oliver,214,1.0,276,2.62148,-0.71967,2.07238
2025-11-20#t1210w0,2025-11-20,Mr. Weir,50,1.0,65,3.0629,-0.15228,1.9668
2025-11-20#t1212w0,2025-11-20,Mr. M. LeBlanc,69,1.0,81,2.59642,1.82487,2.09203
2025-11-20#t1213w0,2025-11-20,Mr. Weir,359,1.0,453,2.58392,1.49251,2.08262
2025-11-20#t1213w1,2025-11-20,Mr. Weir,131,1.0,159,3.06873,-0.85853,1.9496
