seg_id,date,speaker,n_words,orig_frac,n_tok,logppl,fastdetect_d,lrr
2025-10-22#t36w0,2025-10-22,Mr. Savoie,182,1.0,220,2.76185,-1.10173,2.0134
2025-10-22#t37w0,2025-10-22,Hon. Ms. Holt,214,1.0,252,2.52464,0.00182,2.05661
2025-10-22#t38w0,2025-10-22,Mr. Savoie,186,1.0,231,2.91523,-1.81665,1.96762
2025-10-22#t39w0,2025-10-22,Hon. Ms. Holt,192,0.719,233,2.63264,-0.37474,1.99097
2025-10-22#t40w0,2025-10-22,Mr. Savoie,104,1.0,123,2.87174,-0.17135,2.02056
2025-10-22#t41w0,2025-10-22,Hon. Ms. Holt,174,0.0,204,2.49099,0.57474,2.13031
2025-10-22#t42w0,2025-10-22,Mr. Savoie,160,1.0,190,3.08671,-1.24761,1.90163
2025-10-22#t43w0,2025-10-22,Hon. Ms. Holt,176,1.0,196,2.59267,-0.08259,2.06603
2025-10-22#t44w0,2025-10-22,Mr. Savoie,159,1.0,204,2.354,0.96574,2.1566
2025-10-22#t45w0,2025-10-22,Hon. Ms. Holt,185,1.0,220,2.73712,-0.10629,1.98464
2025-10-22#t46w0,2025-10-22,Mr. Savoie,108,1.0,126,2.75809,-0.18477,1.94147
2025-10-22#t47w0,2025-10-22,Hon. C. Johnson,102,1.0,122,2.51168,1.25945,2.24273
2025-10-22#t48w0,2025-10-22,Mr. Savoie,169,1.0,209,2.62412,0.86742,2.06767
2025-10-22#t49w0,2025-10-22,Hon. C. Johnson,108,1.0,134,2.65526,-0.47023,2.08116
2025-10-22#t50w0,2025-10-22,Mr. Savoie,136,1.0,151,3.01085,0.70558,1.96569
2025-10-22#t51w0,2025-10-22,L’hon. C. Johnson,135,0.0,153,2.2351,1.62518,2.25316
2025-10-22#t52w0,2025-10-22,Mr. Savoie,148,1.0,193,2.66653,-0.72148,2.03581
2025-10-22#t53w0,2025-10-22,Hon. C. Johnson,143,1.0,185,2.67454,-1.46341,2.0665
2025-10-22#t54w0,2025-10-22,Mr. Savoie,184,1.0,223,2.62735,0.14247,2.05998
2025-10-22#t55w0,2025-10-22,Hon. Ms. Holt,214,1.0,240,3.11377,0.20596,1.96293
2025-10-22#t56w0,2025-10-22,Mr. Savoie,174,1.0,212,2.70381,-1.35848,2.04629
2025-10-22#t57w0,2025-10-22,Hon. C. Johnson,137,0.0,163,3.04207,-0.57584,1.90908
2025-10-22#t58w0,2025-10-22,Mr. Savoie,102,1.0,121,2.44098,-0.07831,2.12101
2025-10-22#t59w0,2025-10-22,Hon. C. Johnson,155,1.0,194,2.31544,-0.87071,2.10137
2025-10-22#t60w0,2025-10-22,Mr. Coon,165,1.0,197,2.23627,0.70376,2.05434
2025-10-22#t61w0,2025-10-22,Hon. Mr. Dornan,111,1.0,128,2.93864,-2.13241,1.92668
2025-10-22#t62w0,2025-10-22,Mr. Coon,127,0.0,155,2.4683,-0.95084,2.0023
2025-10-22#t63w0,2025-10-22,Hon. Mr. Dornan,140,1.0,172,2.78298,-0.02123,2.01126
2025-10-22#t64w0,2025-10-22,Ms. Mitton,141,1.0,174,2.72132,-0.43846,2.03913
2025-10-22#t65w0,2025-10-22,Hon. Mr. Legacy,150,0.0,179,2.62215,1.10959,2.04624
2025-10-22#t66w0,2025-10-22,Ms. Mitton,163,1.0,203,2.98012,0.24604,1.96559
2025-10-22#t67w0,2025-10-22,Hon. Mr. Legacy,138,0.0,177,2.8725,0.05026,1.9991
2025-10-22#t68w0,2025-10-22,Mr. Savoie,76,1.0,97,2.91205,-1.03484,1.91785
2025-10-22#t69w0,2025-10-22,Hon. C. Johnson,151,0.0,173,2.79684,-0.72976,2.02841
2025-10-22#t70w0,2025-10-22,Mr. Savoie,117,1.0,147,2.78417,0.32957,2.02736
2025-10-22#t71w0,2025-10-22,Hon. C. Johnson,98,1.0,124,2.69998,0.13379,2.03699
